runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
kelheim;52;44;397.68;1145;1095;542;336.5;79.55;93.18;416.07;1845.72;1505.2;813.75;2;1;0.02
kelheim;53;44;388.95;902;704.5;509;367.5;84.09;97.73;493.52;2174.41;1698.02;882.48;2;1;0.02
kelheim;54;43;305.58;771;684.2;421;309;95.35;100;354.37;1614.49;1389.82;659.95;2;1;0.02
kelheim;55;56;396.84;1212;1165.3;559.5;336.5;78.57;92.86;421.5;1869.7;1482.49;818.34;2;2;0.03
kelheim;56;61;398.57;1041;898.6;537;328;81.97;95.08;426.67;1887.23;1564.18;825.25;2;0;0
kelheim;57;61;404.87;1071;877.1;508;373;80.33;96.72;427.41;1926.56;1610.17;832.28;2;0;0
kelheim;58;48;444.46;1155;1100.8;570.5;380.5;81.25;89.58;440.98;1960.13;1667.03;885.44;2;0;0
kelheim;59;43;379.19;1117;1037.2;476;309;81.4;93.02;412.91;1905.25;1660.55;792.09;2;0;0
kelheim;60;50;410.5;1179;979.15;537.5;373.5;86;92;363.32;1660.44;1509.32;773.82;2;2;0.04
kelheim;61;44;319.23;970;724.25;360;305.5;88.64;97.73;363.93;1649.8;1417.6;683.16;2;1;0.02
kelheim;62;39;404.92;1164;1045;585;330;76.92;92.31;416.67;1871.33;1503.81;821.59;2;0;0
kelheim;63;35;363;749;748.2;490;374;85.71;100;439.34;2014.74;1759.55;802.34;2;1;0.03
kelheim;64;47;381.04;1090;1002.6;439;337;85.11;93.62;384.72;1788.28;1635.24;765.77;2;1;0.02
kelheim;65;49;381.29;760;722.5;525.5;356;83.67;100;450.65;2037.64;1658.88;831.94;2;1;0.02
kelheim;66;43;364.33;1042;989.6;441;348;90.7;93.02;438.21;2026.5;1696.27;802.53;2;1;0.02
kelheim;67;51;376.27;1090;1035.6;452;314;82.35;92.16;369.98;1676.56;1470.05;746.25;2;1;0.02
kelheim;68;51;356.16;1168;824.2;414;349;86.27;98.04;377;1726.31;1489.37;733.16;2;3;0.06
kelheim;69;53;385.77;1158;794.5;524;359;84.91;98.11;431.06;1874.9;1503.26;816.83;2;0;0
kelheim;70;38;312.92;645;632.65;430.5;335.5;94.74;100;412.76;1886.98;1635.61;725.68;2;2;0.05
kelheim;71;62;397;1094;954.1;536.75;356.5;80.65;93.55;358.89;1640.2;1487.48;755.89;2;0;0
kelheim;72;53;283.64;890;684.5;387.5;262;92.45;100;389.94;1804.04;1640.19;673.58;2;2;0.04
kelheim;73;48;359.15;1077;975.2;456.75;347.5;87.5;93.75;425.85;1918.32;1663.63;785;2;4;0.08
kelheim;74;37;372.27;1111;1057;507;307;83.78;94.59;364.46;1659.73;1521.81;736.73;2;0;0
kelheim;75;41;327.85;987;941.6;445.5;316;87.8;95.12;420.93;1846.16;1593.23;748.78;2;0;0
kelheim;76;45;316.2;792;725.8;454.5;289;88.89;100;433.11;1940.92;1537.22;749.31;2;1;0.02
kelheim;77;38;321.63;1071;630.2;446;311;94.74;97.37;387.76;1771.63;1504.45;709.39;2;1;0.03
kelheim;78;50;338.76;921;769.1;467.5;331.5;86;98;436.14;1969.39;1527.73;774.9;2;1;0.02
kelheim;79;38;357.42;929;834.95;515;350.5;92.11;97.37;461.42;2086.08;1710.32;818.84;2;2;0.05
kelheim;80;40;325.45;1183;930.25;386.25;264;87.5;92.5;422.15;1888.19;1557.99;747.6;2;0;0
kelheim;81;39;298.9;751;700;405;307;92.31;100;419.87;1923.47;1630.94;718.77;2;0;0
kelheim;82;35;411.43;1113;921;570;348;82.86;97.14;379.23;1769.03;1640.73;790.66;2;1;0.03
kelheim;83;37;351.3;854;755.9;473.5;321;83.78;100;471.49;2132.61;1789.36;822.78;2;0;0
kelheim;84;37;394.38;977;779.9;525;388;86.49;97.3;384.41;1742.32;1517.49;778.78;2;3;0.07
kelheim;85;37;423;1188;1055.7;509;371;83.78;91.89;360.73;1691.34;1572.43;783.73;2;2;0.05
kelheim;86;30;363.4;1080;886.4;469.5;346;93.33;96.67;378.13;1753.36;1567.59;741.53;2;0;0
kelheim;87;23;322.04;646;640.6;376;339;91.3;100;365.91;1706.38;1598.18;687.96;2;1;0.04
kelheim;88;37;336.16;1075;1066;428;291;91.89;91.89;396.78;1832.8;1557.96;732.95;2;2;0.05
kelheim;89;29;310.34;724;672;418;309;93.1;100;470.52;2158.38;1840.9;780.86;2;0;0
kelheim;90;28;371.36;975;929.55;559.75;324;82.14;96.43;400;1876.02;1738.84;771.36;2;0;0
kelheim;91;28;316.86;1001;883.1;430.25;309;85.71;96.43;466.71;2136.14;1842.91;783.57;2;2;0.07
kelheim;92;41;339.71;1067;745.7;437.5;333;87.8;97.56;438.44;2007.61;1649.19;778.15;2;2;0.05
kelheim;93;44;381.02;1194;890.75;514;352.5;79.55;95.45;440.18;2043.13;1794.76;821.2;2;2;0.04
kelheim;94;43;426.58;1179;1061.8;596;379;76.74;95.35;543.58;2454.71;1823.26;970.16;2;2;0.04
kelheim;95;45;310.6;830;788.1;424;307;91.11;100;471.51;2172.48;1782.07;782.11;2;2;0.04
kelheim;96;44;423.32;1099;811.5;590.25;402.5;77.27;97.73;430.98;1976.97;1734.08;854.3;2;2;0.04
kelheim;97;36;350.83;897;787.35;495.25;303;80.56;100;391.89;1768.49;1661.21;742.72;2;4;0.1
kelheim;98;34;387.26;1157;1121;483;355;88.24;91.18;456.03;2062.73;1776.56;843.29;2;2;0.06
kelheim;99;40;350.1;969;905.75;440;321;90;95;396.55;1839.34;1712.27;746.65;2;2;0.05
kelheim;100;30;485.13;1156;1151.05;669.5;419;70;86.67;453.2;2085.39;1766.11;938.33;2;2;0.06
kelheim;101;44;419.25;1168;975;593.5;389;77.27;95.45;442.39;1996.77;1771.74;861.64;2;1;0.02
kelheim;102;19;310.58;639;639;430;307;94.74;100;283.74;1366.49;1366.44;594.32;2;2;0.1
kelheim;103;29;330.31;743;734;420.5;337;93.1;100;380.07;1789.49;1709.23;710.38;2;1;0.03
kelheim;104;29;322.83;676;621.5;442;353;96.55;100;466.41;2067.46;1541.27;789.24;2;0;0
kelheim;105;26;333.23;693;662.55;488.5;317;88.46;100;365.92;1698.77;1578.39;699.15;2;2;0.07
kelheim;106;20;368.35;915;899.65;454.5;358.5;90;95;363.45;1743.19;1734.81;731.8;2;0;0
kelheim;107;27;405.63;1108;1066;520;341;81.48;92.59;458.52;2106.44;1754.86;864.15;2;1;0.04
kelheim;108;27;403.04;1100;1055.6;498;330;81.48;92.59;440.56;2005.18;1633.26;843.59;2;2;0.07
kelheim;109;24;301.88;953;866.75;353.75;234.5;91.67;95.83;383.62;1746.51;1401.3;685.5;2;2;0.08
kelheim;110;20;342.5;727;722.9;457;318;90;100;322.35;1538.93;1538.93;664.85;2;2;0.09
kelheim;111;24;322.62;830;778.25;459;270.5;87.5;100;333.79;1604.25;1601.63;656.42;2;2;0.08
kelheim;112;28;342.36;880;775.15;456.5;326.5;82.14;100;362.93;1751.14;1751.14;705.29;2;5;0.15
kelheim;113;25;392.68;883;870.7;519.5;354;88;100;386.84;1795.76;1673.07;779.52;2;2;0.07
kelheim;114;29;409.83;1119;1005;581;401;82.76;96.55;434.55;2030.3;1822.29;844.38;2;2;0.06
kelheim;115;31;372.61;1089;901.8;519;336;87.1;96.77;375.52;1728.16;1503.3;748.13;2;1;0.03
kelheim;116;24;353.42;1122;995.5;463;346;87.5;95.83;394.12;1813.1;1752.35;747.54;2;1;0.04
kelheim;117;37;392.41;1190;933.5;540;381;89.19;94.59;403.89;1874.88;1618.13;796.3;2;1;0.03
kelheim;118;33;401.97;1137;1134.9;530.5;350;78.79;90.91;426.39;1940.58;1713.38;828.36;2;1;0.03
kelheim;119;27;370.59;701;692.6;568;347;77.78;100;388.37;1766.2;1561.9;758.96;2;5;0.16
kelheim;120;26;379;976;864;562.75;354.5;84.62;96.15;354.65;1642.47;1512.91;733.65;2;2;0.07
kelheim;121;29;310.34;733;687;403.5;292;89.66;100;321.9;1517.56;1316.06;632.24;2;1;0.03
kelheim;122;23;335.22;731;704.8;437;352;91.3;100;308.65;1451.91;1407.83;643.87;2;1;0.04
kelheim;123;35;330.23;994;921.2;471;286;85.71;94.29;446.74;2011.47;1696.98;776.97;2;1;0.03
kelheim;124;24;361.71;779;762.5;542;301.5;87.5;100;311.96;1499.83;1499.83;673.67;2;4;0.14
kelheim;125;33;322.64;1083;782.7;440.5;252;90.91;96.97;325.06;1539.75;1450.21;647.7;2;3;0.08
kelheim;126;29;296.34;717;705;386;268;86.21;100;352.28;1629.47;1534.3;648.62;2;2;0.06
kelheim;127;33;335.39;706;670.3;484;317;87.88;100;350.91;1654.65;1622.92;686.3;2;2;0.06
kelheim;128;26;385;890;854.65;507;309;84.62;100;491.65;2260.11;1904.16;876.65;2;1;0.04
kelheim;129;36;303.44;645;640.75;387.25;319;91.67;100;420.36;1964.35;1651.59;723.81;2;1;0.03
