link;volume
-111529128;793
-111532208;5
-111532757;1180
-111986458;541
-112024793#0;12
-112024793#2;7
-112024793#3;2
-112024793#4;4
-112024797#0;7
-112024797#2;18
-112024797#3;23
-112024799#1;4
-112032091;57
-112032099#0;80
-112032099#1;83
-112032099#3;72
-112314191;395
-112468998;69
-112513296;831
-112565257#0;8
-112565257#1;7
-112609746;42
-112696324;2
-112722386;31
-112793761;28
-112793765;30
-113148007#0;555
-113567033;10
-113575007;26
-113622383#2;816
-113623613;871
-113623615;46
-113691658;23
-113699899;20
-113728624#0;10
-113728624#1;6
-113728628;4
-113828270#0;15
-113828270#1;17
-113828270#2;21
-113944906;18
-114160399;4
-114224801#0;561
-114224804;333
-114241332;1814
-114256906;401
-114256910#1;946
-114256912;546
-114256914;667
-114256925;98
-114315305;76
-114328729;538
-114332221#0;36
-114332221#1;36
-114332221#2;33
-114332221#3;17
-114332221#5;9
-114332221#6;0
-114372145#0;74
-114372145#1;73
-114412250#0;0
-114412250#1;6
-114412250#2;25
-114412250#3;29
-114412250#4;57
-114412250#5;68
-114424033;29
-114512167;3
-114514994;130
-114578703#0;228
-114578703#1;12
-114735748#0;319
-114735748#1;272
-114877855;12
-114935886#1;11
-114935886#2;5
-115068937;249
-115068945#0;15
-115068945#2;30
-115068945#3;23
-115068945#4;19
-115068945#5;19
-115068951#1;242
-115068955#0;3
-115068955#1;2
-115068958#0;19
-115068958#1;16
-115068958#3;3
-115068963#0;9
-115068963#1;4
-115068963#2;2
-115082247;14
-115082248#0;44
-115082248#1;16
-115149344#0;0
-115149344#1;2
-115149361;0
-115214320;1373
-115536583;372
-115596848;455
-115617617#1;141
-115642185;1155
-115849441#0;3
-115849441#1;3
-115849441#2;3
-116306493;1
-116306495;230
-116413146#0;2860
-116413146#2;2757
-116595968;71
-116595972;43
-116605277#0;5
-116605277#1;5
-116605277#2;4
-116605279;0
-116685479;264
-116740469;1
-116902533;1
-116904492;1
-116947399#0;76
-116947399#1;74
-116947400#0;79
-116947403#0;65
-116947403#1;65
-116947405;58
-117075309;1
-117158851;18
-117321544#0;11
-117321544#1;8
-117321544#2;7
-117321547;2
-117321553;17
-117321557#0;4
-117321557#1;1
-117375803#0;175
-117378409;10
-117447396;10
-117447807;52
-117515515;103
-117515516;72
-117815545;1
-117815566#0;5
-117815566#1;1
-117815566#2;0
-117815566#3;0
-11810346#0;6
-11810346#1;4
-11810727#0;7
-118213155;2
-118513494;0
-118513495;4
-118521359;7
-118529115;14
-118564714;0
-118564719#0;0
-118564719#1;2
-118564720#0;1
-118564720#1;0
-118564720#2;0
-118564720#3;0
-118564720#4;0
-118607952;80
-118629330;0
-118630583;1
-118688072;26
-118688081#0;27
