runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles
kelheim;184;2;535278.4;175705.27;0.33;464184.14;267639.2;87852.63;232092.07;0.87;1.65;0
kelheim;185;2;498321.1;163454.91;0.33;449818.07;249160.55;81727.45;224909.04;0.9;1.6;0
kelheim;186;2;524126.46;172021.26;0.33;446653.66;262063.23;86010.63;223326.83;0.85;1.63;0
kelheim;187;2;494842.43;165006.1;0.33;412218.17;247421.22;82503.05;206109.09;0.83;1.64;0
kelheim;188;2;523930.01;152299.64;0.29;505133.14;261965.01;76149.82;252566.57;0.96;1.52;0
kelheim;189;2;473194.33;138644.72;0.29;446766.44;236597.17;69322.36;223383.22;0.94;1.49;0
kelheim;190;2;527633.08;163102.15;0.31;467800.92;263816.54;81551.08;233900.46;0.89;1.56;0
kelheim;191;2;511862.08;155391.42;0.3;480245.94;255931.04;77695.71;240122.97;0.94;1.51;0
kelheim;192;2;520452.29;165393.75;0.32;458653.37;260226.15;82696.88;229326.69;0.88;1.58;0
kelheim;193;2;554760.66;162561.03;0.29;533405.39;277380.33;81280.52;266702.7;0.96;1.51;0
kelheim;194;2;468430.89;138819.59;0.3;436460.1;234215.45;69409.79;218230.05;0.93;1.56;0
kelheim;195;2;490383.43;157225.99;0.32;440180.77;245191.72;78613;220090.39;0.9;1.55;0
kelheim;196;2;549452.49;172027.31;0.31;499859.04;274726.25;86013.66;249929.52;0.91;1.54;0
kelheim;197;2;514564.35;164601.53;0.32;461155.5;257282.18;82300.77;230577.75;0.9;1.54;0
kelheim;198;2;525968.32;173769.32;0.33;459556.92;262984.16;86884.66;229778.46;0.87;1.57;0
kelheim;199;2;558985.65;170142.7;0.3;528707.05;279492.83;85071.35;264353.53;0.95;1.54;0
kelheim;200;2;488577.59;148485.5;0.3;451782.68;244288.8;74242.75;225891.34;0.92;1.5;0
kelheim;201;2;347215.59;104383.47;0.3;294332.07;173607.8;52191.73;147166.04;0.85;1.59;0
kelheim;202;2;350905.38;104921.65;0.3;296331.9;175452.69;52460.82;148165.95;0.84;1.61;0
kelheim;203;2;353960.52;105019.79;0.3;305491.88;176980.26;52509.89;152745.94;0.86;1.56;0
kelheim;204;2;358537.4;104936.22;0.29;313351.4;179268.7;52468.11;156675.7;0.87;1.56;0
kelheim;205;2;360049.05;111609.52;0.31;298492.05;180024.53;55804.76;149246.03;0.83;1.59;0
kelheim;206;2;363766.17;117827.99;0.32;290853.78;181883.09;58913.99;145426.89;0.8;1.6;0
kelheim;207;2;367656.24;123045.69;0.33;287826.66;183828.12;61522.84;143913.33;0.78;1.62;0
kelheim;208;2;373160.12;124366.69;0.33;293709.03;186580.06;62183.34;146854.52;0.79;1.62;0
kelheim;209;2;365004.46;117695.09;0.32;292952.02;182502.23;58847.54;146476.01;0.8;1.6;0
kelheim;210;2;365016.16;117695.09;0.32;292963.72;182508.08;58847.54;146481.86;0.8;1.6;0
kelheim;211;2;365006.2;117696.83;0.32;292952.02;182503.1;58848.41;146476.01;0.8;1.6;0
kelheim;212;2;365028.78;117717.67;0.32;292953.76;182514.39;58858.83;146476.88;0.8;1.6;0
kelheim;213;2;368666.01;118797.26;0.32;295511.4;184333.01;59398.63;147755.7;0.8;1.6;0
kelheim;214;2;370690.58;119543.96;0.32;295012.61;185345.29;59771.98;147506.31;0.8;1.62;0
kelheim;215;2;370761.34;119543.96;0.32;295083.37;185380.67;59771.98;147541.69;0.8;1.62;0
kelheim;216;2;370688.84;119543.96;0.32;295010.87;185344.42;59771.98;147505.44;0.8;1.62;0
kelheim;217;2;373676.64;127446.33;0.34;285796.85;186838.32;63723.16;142898.43;0.76;1.63;0
kelheim;218;2;367087.69;116498.64;0.32;294494.5;183543.85;58249.32;147247.25;0.8;1.62;0
kelheim;219;2;370144.93;127451.11;0.34;280092.38;185072.47;63725.55;140046.19;0.76;1.63;0
kelheim;220;2;366962.25;116498.64;0.32;294369.06;183481.13;58249.32;147184.53;0.8;1.62;0
kelheim;221;2;360888.55;117250.56;0.32;284090.43;180444.28;58625.28;142045.22;0.79;1.62;0
kelheim;222;2;361965.39;118969.37;0.33;281873.92;180982.7;59484.68;140936.96;0.78;1.62;0
kelheim;223;2;361804.64;118974.15;0.33;281708.39;180902.32;59487.07;140854.2;0.78;1.62;0
kelheim;224;2;355161.11;118281.05;0.33;273304.84;177580.56;59140.52;136652.42;0.77;1.63;0
kelheim;225;2;357398.89;118258.47;0.33;275565.2;178699.45;59129.23;137782.6;0.77;1.64;0
kelheim;226;2;352667.44;117792.95;0.33;269187.42;176333.72;58896.48;134593.71;0.76;1.63;0
kelheim;227;2;350612.3;117820.31;0.34;267104.92;175306.15;58910.16;133552.46;0.76;1.66;0
kelheim;228;2;355769.11;126778.83;0.36;256796.32;177884.56;63389.41;128398.16;0.72;1.66;0
kelheim;229;2;350517.35;115988.87;0.33;268841.41;175258.68;57994.43;134420.71;0.77;1.64;0
kelheim;230;2;356194.25;132205.21;0.37;250903.56;178097.13;66102.6;125451.78;0.7;1.68;0
kelheim;231;2;352678.94;123867.44;0.35;259856.56;176339.47;61933.72;129928.28;0.74;1.65;0
kelheim;232;2;355685.66;133189.88;0.37;249995.26;177842.83;66594.94;124997.63;0.7;1.68;0
kelheim;233;2;347896.94;122033.08;0.35;256908.92;173948.47;61016.54;128454.46;0.74;1.65;0
kelheim;234;2;348321.71;129835.92;0.37;243697.4;174160.86;64917.96;121848.7;0.7;1.68;0
kelheim;235;2;343583.43;128478.51;0.37;237958.83;171791.72;64239.25;118979.42;0.69;1.65;0
kelheim;236;2;343189.89;128309.07;0.37;237734.73;171594.95;64154.53;118867.37;0.69;1.65;0
kelheim;237;2;341799.21;128504.84;0.38;236148.28;170899.61;64252.42;118074.14;0.69;1.65;0
kelheim;238;2;343343.31;128473.73;0.37;237723.49;171671.66;64236.86;118861.75;0.69;1.65;0
kelheim;239;2;345057.77;129134.23;0.37;243362.81;172528.89;64567.12;121681.41;0.71;1.68;0
kelheim;240;2;344378.64;129115.47;0.37;242000.86;172189.32;64557.74;121000.43;0.7;1.68;0
kelheim;241;2;344762.6;128911.1;0.37;243290.77;172381.3;64455.55;121645.39;0.71;1.68;0
kelheim;242;2;340554.98;126971.95;0.37;238147.19;170277.49;63485.98;119073.6;0.7;1.66;0
kelheim;243;2;342381.49;128589.23;0.38;240872.11;171190.75;64294.62;120436.06;0.7;1.67;0
kelheim;244;2;338151.08;123683.93;0.37;240399.19;169075.54;61841.97;120199.6;0.71;1.66;0
kelheim;245;2;337891.09;123648.04;0.37;240175.09;168945.55;61824.02;120087.55;0.71;1.66;0
kelheim;246;2;341013.31;126170.74;0.37;241922.42;170506.66;63085.37;120961.21;0.71;1.67;0
kelheim;247;2;338002.01;123680.18;0.37;240253.87;169001.01;61840.09;120126.94;0.71;1.66;0
kelheim;248;2;338126.43;123648.04;0.37;240410.43;169063.22;61824.02;120205.22;0.71;1.66;0
kelheim;249;2;335404.2;123652.82;0.37;237683.42;167702.1;61826.41;118841.71;0.71;1.66;0
kelheim;250;2;332263.14;109790.18;0.33;257680.16;166131.57;54895.09;128840.08;0.78;1.63;0
