ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	3872.2705887468665	9497.909493849751	
1	3894.231909527777	9504.894602535393	
2	3908.702070089927	9516.696670394633	
3	3917.051960458208	9524.558819058331	
4	3922.8749005216127	9531.856628585705	
5	3928.3910290892204	9541.54642383817	
6	3932.642477974675	9548.207805701015	
7	3935.847071177229	9553.915033787182	
8	3939.687997415596	9556.32995827982	
9	3942.1976402196915	9562.315567241563	
10	3944.9281519465144	9565.234762939703	
11	3946.7662718404113	9567.993560237112	
12	3949.6863914943756	9572.656164530325	
13	3951.926694602522	9576.273343864015	
14	3954.231504002653	9576.602895677088	
15	3954.9742226867415	9578.376104547677	
16	3957.4423280148176	9580.741148308116	
17	3958.455225610413	9583.233005680842	
18	3959.08632084081	9583.184184382748	
19	3960.8498276274368	9584.075410904143	
20	3961.0175998478358	9585.895574830256	
21	3960.636541217694	9585.41886833109	
22	3964.3864754666424	9588.473349528927	
23	3964.517131849938	9589.3826363185	
24	3964.4250822299773	9588.555960772403	
25	3963.9758240327337	9588.2567675033	
26	3965.632335942482	9589.97168113148	
27	3966.6700444979733	9592.45753668651	
28	3967.8326140211184	9592.356636711256	
29	3967.899649213669	9593.411791363167	
30	3968.9262891013977	9595.664658379712	
31	3967.8058205173907	9595.924762624894	
32	3967.8280464948552	9596.308326221051	
33	3967.8228520163952	9593.909729209885	
34	3969.914368772809	9595.975982044964	
35	3970.094650032574	9593.662560574667	
36	3970.6407157369467	9595.442759419526	
37	3970.4849356329228	9597.07653647276	
38	3969.1312827141396	9597.71024272166	
39	3969.7617484088387	9595.228639860225	
40	3970.332470778649	9597.69571471862	
41	3971.942342887066	9599.208710737259	
42	3972.690688642822	9600.587554204873	
43	3971.8046410881507	9601.185551022349	
44	3971.156734710709	9600.329395825123	
45	3973.0141733792984	9600.959080307986	
46	3973.0044603682068	9598.696774927455	
47	3972.436408147911	9602.520996349625	
48	3972.6547235766634	9599.99995471002	
49	3969.995252985274	9602.333674557167	
50	3971.3638853115685	9600.894024737212	
51	3971.5951509176834	9598.710779040308	
52	3971.1670607825513	9598.460756155619	
53	3970.779540630128	9600.904121749803	
54	3970.451252250575	9598.902934041085	
55	3970.0345846955333	9602.29478652435	
56	3970.2030261527248	9602.874289221807	
57	3969.9647229582984	9601.286989700664	
58	3969.2027476013845	9602.040725434883	
59	3969.4114934460426	9601.172705793137	
60	3969.09191537981	9600.420303501627	
61	3969.6638138697017	9602.05958528332	
62	3969.3083392476506	9601.008387080981	
63	3968.995819256533	9598.527295899838	
64	3966.747087255463	9598.606333439111	
65	3966.784033258443	9595.940052702203	
66	3966.9534855895554	9596.778947041385	
67	3967.298074588654	9598.223454884524	
68	3966.8455911732412	9598.428549180839	
69	3967.1395664279585	9598.234648605012	
70	3965.9575544562917	9598.172741147791	
71	3967.0951491988726	9597.646552888122	
72	3966.9199017703645	9596.285669968227	
73	3966.167350086791	9594.776373642111	
74	3966.114665698911	9595.987634908533	
75	3967.324254756011	9595.795296584727	
76	3967.0632648990013	9596.59171873427	
77	3964.402178514458	9594.356514377127	
78	3967.260074527624	9596.013649876899	
79	3966.721693500139	9594.783997605497	
80	3966.741081968117	9593.10271215337	
81	3965.899394859283	9594.472202239698	
82	3965.336919369239	9596.050121593109	
83	3964.985499408254	9594.914468328361	
84	3962.949989462344	9591.757714527766	
85	3962.613247562066	9590.30464536976	
86	3963.5240513191247	9593.753100208329	
87	3961.3686537635604	9591.177423285213	
88	3960.742004915129	9592.05069123549	
89	3961.0010547716506	9591.184148583252	
90	3961.7576090198086	9592.028265532195	
91	3962.364171867044	9592.32583497744	
92	3961.190112945782	9592.541516740936	
93	3960.1723203407546	9590.559994212672	
94	3959.533971909966	9590.112069393504	
95	3959.0600498639315	9591.216024155872	
96	3959.4746582247867	9588.22387427784	
97	3958.9617070851805	9589.886791693543	
98	3958.2913921024465	9589.775480507955	
99	3958.6988899778617	9589.10453353499	
100	3957.9788469613513	9590.609948418456	
101	3957.978580194187	9588.073581451821	
102	3958.4792957262166	9588.244177678755	
103	3956.9094742186458	9586.107620866069	
104	3956.5329349669855	9586.421807482948	
105	3956.405839511335	9587.5667761607	
106	3957.4749537328344	9585.949233040847	
107	3954.7300811108184	9584.4582618687	
108	3955.764024803037	9586.215682504875	
109	3954.8819950310713	9584.192720821311	
110	3954.681373879703	9585.81228764957	
111	3954.0049521482856	9584.243631681415	
112	3954.77946000136	9581.994410900248	
113	3952.976707732088	9582.938919564709	
114	3954.0350701795332	9580.474862123041	
115	3951.903130870554	9580.215681044174	
116	3951.8141948975026	9581.18294478633	
117	3951.249284180558	9582.074103772398	
118	3951.29923952649	9583.177399318654	
119	3950.4202812968956	9580.257838992442	
120	3949.8465580946704	9579.148886446905	
121	3949.6730883151276	9578.613597295052	
122	3950.259113590168	9577.448888564564	
123	3949.9641474339023	9577.761758741259	
124	3949.8994397482766	9578.879087817792	
125	3949.146475118814	9576.612556769165	
126	3948.54864558802	9576.558412164786	
127	3948.2278510229135	9576.141361636017	
128	3948.0564579929865	9577.090935426813	
129	3947.635625652017	9576.19058673499	
130	3947.2659319495747	9576.16401131159	
131	3946.3347281361193	9574.928944052528	
132	3945.6524779013794	9575.389528748141	
133	3944.9283195871826	9575.244000104061	
134	3945.80051392707	9574.465681304055	
135	3945.25459493163	9574.515368808781	
136	3944.9435386417435	9573.376372488758	
137	3945.1983027769875	9571.70892115148	
138	3945.151006375377	9574.058510525309	
139	3943.815560481882	9570.907000353449	
140	3943.136862156281	9572.62161614943	
141	3942.8797614771574	9572.105212660728	
142	3942.077871665181	9572.443688655738	
143	3941.8287970396036	9570.493501398207	
144	3940.4652794616172	9568.938171091757	
145	3941.4296752673436	9568.852430493402	
146	3940.1039665362205	9571.307544338726	
147	3941.0344898709222	9567.034967976462	
148	3939.0180820535215	9569.227736080351	
149	3940.1698886883282	9568.807689560841	
150	3940.4032129125803	9567.282871490726	
151	3939.0722568468045	9568.507556838398	
152	3938.4118197989246	9567.235005702381	
153	3938.2744213695846	9567.34862989153	
154	3937.856093496315	9566.543684491535	
155	3935.925761582692	9561.955349204265	
156	3936.5677329598616	9565.293553438685	
157	3936.0174679490488	9565.42099509223	
158	3936.6141943780663	9565.762821020771	
159	3936.109869684271	9564.60819581285	
160	3936.806917745761	9563.744999534627	
161	3936.0869873121915	9563.492557274558	
162	3935.367808052639	9563.513443103415	
163	3936.349923819737	9564.6107880095	
164	3934.6919122366617	9562.534383182541	
165	3934.4923840772217	9562.046464321256	
166	3934.3887130552052	9562.10447226018	
167	3934.490643132341	9559.986057768745	
168	3932.935526199577	9560.486747735875	
169	3934.084302199722	9560.140066372343	
170	3933.1633729298596	9559.3895577636	
171	3933.1467516433718	9561.137736515297	
172	3932.1740290283133	9561.419264366481	
173	3932.726579872836	9559.183794523946	
174	3931.0441002432035	9557.61374241749	
175	3931.809344339922	9559.490134024954	
176	3931.496202018011	9559.058188092924	
177	3931.4233442495215	9559.48581646938	
178	3932.3939670079712	9557.762059053302	
179	3930.0290668589914	9557.539591536495	
180	3930.0003148657815	9557.14606377435	
181	3930.2844145360054	9557.217284454604	
182	3929.8433024523997	9557.427207388058	
183	3930.402581176329	9557.396624126426	
184	3929.1050272574043	9554.196889293666	
185	3928.146443898904	9556.066635085703	
186	3929.440146297659	9555.133007831288	
187	3928.496365985838	9556.23958744722	
188	3927.9571750375103	9552.148888847438	
189	3928.196384090492	9554.188387140859	
190	3926.8623965524243	9552.559092744516	
191	3927.822925058851	9554.732248537995	
192	3926.301360368345	9552.514861886779	
193	3927.666475004018	9553.506209568803	
194	3927.110172194061	9551.306431664889	
195	3926.512652550885	9553.64413702194	
196	3926.4941959545113	9553.48107390842	
197	3926.003205521713	9553.524043647592	
198	3926.0479465025896	9551.124193926798	
199	3926.0461695045324	9549.51038483509	
200	3924.872880414282	9549.14915002475	
201	3925.456408316328	9549.631410968801	
202	3924.311829097625	9550.483461149674	
203	3923.833777028779	9548.670316886895	
204	3924.0095346901726	9548.260372589151	
205	3924.0968116459244	9549.590671205517	
206	3924.050130547869	9550.876040345162	
207	3922.8716931878334	9548.893914024868	
208	3922.725982852661	9548.799353534223	
209	3922.0944400966514	9547.210312571167	
210	3922.0530778587517	9546.809738603337	
211	3922.4988740163267	9548.574571165114	
212	3921.5647505386614	9546.882650458198	
213	3921.6451039779595	9546.36172154731	
214	3922.4337407467397	9545.197689025277	
215	3920.700160173456	9546.059246232466	
216	3921.4904776079616	9545.86011825616	
217	3921.525755182941	9544.96338454714	
218	3921.591801784587	9546.853852987477	
219	3920.3036605278444	9544.65825000851	
220	3920.414907222098	9544.208027140214	
221	3919.991230848395	9543.439575151982	
222	3920.8495966681758	9545.895909843486	
223	3920.362151021809	9544.957561238309	
224	3919.614529111807	9544.176574069857	
225	3919.1920675887704	9543.211333583396	
226	3919.030762816054	9544.330982621987	
227	3920.538027140337	9542.985518210144	
228	3920.0482319482585	9540.951149128965	
229	3919.5674383331116	9543.671445290882	
230	3918.8656555080756	9541.942655594088	
231	3918.020177744787	9540.44609975548	
232	3917.5662034217116	9539.293914490161	
233	3918.8682970735117	9541.682670069442	
234	3916.7522306300357	9540.339821414133	
235	3916.3146232973254	9540.46175938052	
236	3917.045274604418	9539.985088237758	
237	3917.4103826737623	9540.479769545416	
238	3917.729205266547	9539.635593412077	
239	3917.7017690756584	9538.474321255597	
240	3916.6604171481763	9538.705098393191	
241	3915.9366971537993	9538.817800514726	
242	3916.852380075722	9539.71876168941	
243	3916.5438501416484	9538.51582048562	
244	3917.3148256914624	9539.060503747609	
245	3915.9459269423464	9537.039593399544	
246	3916.1084936216794	9537.06412454341	
247	3916.372612526556	9537.756028768348	
248	3915.418421436421	9536.64167089083	
249	3916.6067682611138	9538.24058114095	
250	3914.2132245718885	9536.693046247015	
251	3915.2334311693985	9537.782767430746	
252	3915.5202248804026	9539.239069691199	
253	3914.7144140878713	9536.180555355897	
254	3914.0367109237454	9536.870554862517	
255	3914.43043937551	9535.812095789186	
256	3913.6516633990645	9536.532716678552	
257	3913.848463989541	9535.117015016165	
258	3913.7339508840314	9534.577875807216	
259	3912.619524475159	9535.807406200309	
260	3913.8791047947834	9533.64526264166	
261	3912.6201077092605	9533.629989599072	
262	3912.6722137180745	9533.380876806303	
263	3912.3342483759807	9532.956231091608	
264	3913.0241841444495	9533.643909078739	
265	3913.3284148333814	9533.762315781483	
266	3913.278982559514	9532.778027847533	
267	3912.022348704942	9532.468716009651	
268	3911.4136363934263	9530.910301658889	
269	3912.225091006246	9530.70088069392	
270	3913.0067022272115	9533.42760716019	
271	3912.7766212147585	9532.943487076946	
272	3911.4001161076935	9530.665719579718	
273	3912.550678353252	9532.944361109201	
274	3912.3497841796857	9529.985809871396	
275	3912.4339468955154	9531.56557708424	
276	3911.3633869872806	9531.03238403252	
277	3913.098259285332	9529.481804817176	
278	3911.8093497352743	9530.521467369488	
279	3911.0481857741065	9530.284530021047	
280	3911.2209074444268	9531.342273829208	
281	3910.205091789345	9528.525875719632	
282	3910.967948246746	9528.637180853428	
283	3910.3726002918083	9528.236826775867	
284	3910.7354911046114	9527.825289060933	
285	3911.063259058248	9529.26365845908	
286	3910.8894793513655	9526.476882931693	
287	3909.5637698328514	9527.059979906815	
288	3910.632133849651	9527.811156310605	
289	3908.799406266352	9526.112840414404	
290	3909.8082841065293	9528.739841379385	
291	3909.8297344659222	9528.20381589761	
292	3910.0026760615237	9525.690905882426	
293	3910.477344548597	9528.274260984705	
294	3910.184828383109	9527.601634234123	
