ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	116.98789896552883	116.98789896552883	116.98789896552883	116.98789896552883
1	115.45022251601286	115.44718745282383	116.22702283438477	117.00685821594348
2	114.66880820137163	113.92840755779827	115.50224186916513	117.01313353838711
3	114.17000785284311	112.42777981668517	114.80813571936612	117.01549428154031
4	113.8821075268945	110.993668567321	114.17746792183783	117.01808093871226
5	113.64964947353369	109.54703949862727	113.55615139356455	117.0201284173682
6	113.46019619951556	108.17390323579151	112.98860237625482	117.02115601377481
7	113.34646550240282	106.83374676406247	112.45778876703825	117.02374631430209
8	113.18008153584873	105.51479869058993	111.94327879040571	117.02448761454666
9	113.10222251948528	104.26541816631989	111.47462573723755	117.02628838998275
10	112.93895294508998	103.05743076742321	111.0300236146765	117.02831567623322
11	112.80905720897451	101.89546347504553	110.61829247404346	117.0285526303556
12	112.72849234640002	100.80434269367322	110.24274685935482	117.03171625423764
13	112.7512551389253	99.85083103955819	109.92295793329545	117.03333829370769
14	112.59339894292094	98.88531783862712	109.60741866200391	117.03457299242106
15	112.49830793347408	98.04506589446909	109.33752888100686	117.03701188108202
16	112.4453356607158	97.2682939130021	109.08471464497298	117.03779877079423
17	112.45623626562686	96.59636827962514	108.88067883168388	117.03923260684276
18	112.45185020293628	96.06769461052029	108.72602612103098	117.0407224933265
19	112.38524525407912	95.5681349674886	108.58069918973536	117.04252060025236
20	112.42327610232691	95.15148023457598	108.46967942433028	117.04358766929508
21	112.4057123550258	94.83624756150346	108.38742408746118	117.04429326173431
22	112.3791021378232	94.57812917800153	108.33049126762874	117.04528894229385
23	112.3727534111199	94.43773578020074	108.30314387841044	117.04626478256176
24	112.37513285482464	94.33634544233162	108.29678472884694	117.04637341007398
25	112.44885490780096	94.34237293430313	108.321905251956	117.04872558700838
26	112.49501245492141	94.42550036729186	108.36684539014138	117.0492017450056
27	112.55507173624623	94.57247829175675	108.43767272996277	117.05020374277271
28	112.58716141991343	94.74183951187271	108.51596469843274	117.05119568770331
29	112.62877895457517	94.94763371072537	108.60889274762866	117.05168361386657
30	112.65330173744073	95.20258081091403	108.71592002596196	117.052969904901
31	112.6779712571659	95.49191482241575	108.83660742468979	117.05381738342149
32	112.69357384330208	95.84456268203414	108.96265279518667	117.0542416436774
33	112.71896909945616	96.19821395354349	109.09866478982168	117.05530562805343
34	112.81193117022586	96.61216419254188	109.25584092707113	117.05686614906726
35	112.83781346046236	97.01658166043471	109.40773751011214	117.0561888859472
36	112.86444707291379	97.41378889586686	109.56063785007812	117.05715231419649
37	112.8898041285508	97.84797196432213	109.72403470582164	117.05796189967427
38	112.97908381170777	98.33172657759891	109.89271506432685	117.05863934455644
39	112.99066688514655	98.72593957810928	110.04981465315717	117.05883267040774
40	113.09598842253297	99.21847135688746	110.22553192115318	117.0595856165993
41	113.24094885639967	99.74433078020661	110.41316251609788	117.06051440515263
42	113.30453329622786	100.23594818746888	110.58742213088938	117.06130606288932
43	113.32106777013186	100.66546250417817	110.74808286361612	117.06223705783694
44	113.36117333071124	101.11247766426207	110.9144612328946	117.06242120858407
45	113.40994000421612	101.58092028819176	111.07977953061088	117.06398885308282
46	113.38806473989386	101.9553911347602	111.22515991212319	117.06434673649902
47	113.47355161787877	102.38525000673116	111.38647968927404	117.06403756170906
48	113.52460935710646	102.81785904433454	111.5429052291367	117.06560107038203
49	113.59874534207067	103.239845082047	111.70276594579765	117.06549504652236
50	113.61878158370168	103.64338320054432	111.84914387998612	117.06716885383632
51	113.66010447097864	104.00271928783039	111.99241334578124	117.06816044759026
52	113.67782243272904	104.38683437893245	112.13913051079531	117.06787542505468
53	113.74132992892277	104.75392341241253	112.28261795090273	117.06954553426748
54	113.74046103154654	105.10234344418971	112.40960392931834	117.07058419034358
55	113.86356195426772	105.52102871936034	112.55162331541418	117.07113956197865
56	113.90491365867487	105.8228860931213	112.67358088994655	117.07162912438646
57	113.87545392017057	106.09908236466035	112.78564539171914	117.07126135275763
58	113.97827695579862	106.47054515814699	112.91420704488453	117.07262236480642
59	114.00443927225064	106.75111791543083	113.0301026206322	117.07325025113049
60	113.96713374609642	106.97732358921355	113.13328989912291	117.07369052100624
61	114.08710161686675	107.33827787450755	113.25831647553642	117.0743032715662
62	114.09137583081298	107.59619131702486	113.3570727550785	117.07490456651989
63	114.117097170987	107.85210320361746	113.45665747813341	117.07619275866601
64	114.1571256333145	108.11022088647915	113.55355823092954	117.0768161926196
65	114.18043076828454	108.3288644451153	113.64530435115671	117.07778481009204
66	114.20874267466696	108.57344831464621	113.73945621657747	117.07855661175024
67	114.21828715173275	108.77908556941698	113.8240613870874	117.07916280651717
68	114.24410404119764	108.98203490625869	113.90870749344953	117.0805098640399
69	114.26524619991444	109.19854278890696	113.9952379702917	117.08040040345271
70	114.33461226536592	109.43554986128972	114.08195176205939	117.08123569821743
71	114.33512132414388	109.60526898687988	114.15514859462755	117.0821661119521
72	114.32882838049007	109.76332702829644	114.22437741470569	117.08242655989541
73	114.36795013423647	109.95126915003038	114.29860846296961	117.08328751624164
74	114.4176653633372	110.12891387159215	114.36986640450473	117.08400020561879
75	114.45871737050497	110.31895590975523	114.43976435939557	117.08438481242673
76	114.45752929437387	110.44291872591229	114.49990783766334	117.08567465192196
77	114.47359958986243	110.57527436949819	114.55954015610374	117.0861903883295
78	114.52606313023172	110.76589903676673	114.62495487739892	117.08696798640898
79	114.49922315564567	110.85298835772512	114.67398077301299	117.08786732601715
80	114.4830068372489	110.97171664797305	114.72580954505287	117.08808019241336
81	114.53178499279451	111.13975610347184	114.78671582424664	117.08972710204242
82	114.55893027474026	111.2539658050565	114.83780377256849	117.09051832799989
83	114.57204570469513	111.3743359953174	114.88747722942294	117.0906866739466
84	114.57099921371078	111.48295660185295	114.93441237604856	117.09106344268845
85	114.6217959517102	111.6234506788981	114.98797240927495	117.09231476831557
86	114.62054859780588	111.7088158575357	115.02969015760685	117.09271227673656
87	114.66977936511219	111.83948525714665	115.07964296018044	117.09379053179791
88	114.67070884861927	111.93161681806676	115.12215555990099	117.09464734481054
89	114.66702320131849	112.0106978271433	115.15842022917556	117.09535521201948
90	114.68197223897545	112.10615837205374	115.19741414016494	117.09546104536932
91	114.72192109171819	112.21331907035652	115.2399975175832	117.09638506309528
92	114.76830361591928	112.32514757045341	115.28221405485257	117.09761139591164
93	114.78282422608467	112.39306819145271	115.31637324218907	117.09834836220227
94	114.7744843520298	112.45448678203977	115.34734963211962	117.09907767641873
95	114.80917988246351	112.55550453615713	115.38523690107141	117.09992126233699
96	114.74544822351153	112.5582553935165	115.40693247759141	117.10113139036451
97	114.81821126773804	112.68503530680171	115.44949297899157	117.1011027199846
98	114.80311749690654	112.72708695998051	115.47610629233115	117.10207268451629
99	114.86343953680056	112.83346505570196	115.51285649824726	117.1031135321818
100	114.86712921002774	112.88946854921763	115.53992906656885	117.10386416471731
101	114.83624598732207	112.91415841708067	115.56046698421224	117.10421955730182
102	114.87072595658105	112.99121310983391	115.59140868127184	117.10557499469637
103	114.85029250207737	113.02205933929136	115.61393016278029	117.10600183827279
104	114.87511300671716	113.08759458699281	115.64179998101153	117.10676767195338
105	114.85458415610977	113.1202627159957	115.66212288941873	117.10732224968537
106	114.90206410597956	113.21413626610945	115.69383616740802	117.1084790226763
107	114.89792387261807	113.23864178638897	115.71413275423029	117.10952717230305
108	114.8957830082032	113.28585110917895	115.73524310450416	117.10974892943744
109	114.92231981769493	113.35308856441783	115.76076561126061	117.1105508836638
110	114.93909172982808	113.4047358697142	115.78324678756192	117.11062823159295
111	114.94164763707214	113.4485411080686	115.80488469968216	117.1120586514392
112	114.93546704779232	113.47870097532686	115.82339247874683	117.11289644708701
113	114.97407801557982	113.55224874614244	115.8484473945664	117.11356198152507
114	114.92219638057541	113.53543894132258	115.8579500702408	117.11432411414133
115	114.93291734586217	113.57114708818577	115.87653663972304	117.11511283650587
116	115.0061429569975	113.67609562448686	115.90497274407346	117.1158602912698
117	115.0174965013452	113.71252311502909	115.9232961346571	117.11644790930062
118	115.04914475844062	113.7738622194842	115.94486743864306	117.11736121624048
119	115.01133935567908	113.76167509512184	115.95395267733342	117.11810311861171
120	115.00707484811666	113.78735852630281	115.96991576641447	117.11901915672608
121	115.03567462754141	113.84459214077442	115.9911527428219	117.11979844574448
122	115.03501220678707	113.86767923509767	116.0056844136535	117.12036929490841
123	115.05301806493166	113.91273808707524	116.02348673733563	117.1212111070435
124	115.07369303874079	113.96304606334641	116.04132058112636	117.12141924004516
125	115.05206150579025	113.96851222900011	116.05151449053129	117.12240459483232
126	115.10533649454223	114.03993718381356	116.07282678653688	117.1229625302172
127	115.09192401060886	114.0443712506124	116.0824944001233	117.12375765421854
128	115.10974468562871	114.08608829264801	116.09787064579116	117.12441359077789
129	115.06214287072842	114.05786199854568	116.10160743880978	117.12481634825835
130	115.05398595632315	114.07043374105619	116.11197778649354	117.12533230234078
131	115.110179675789	114.13971850934617	116.13260922707848	117.1262037851559
132	115.09550794270763	114.14475950990436	116.14126614327566	117.12662058603061
133	115.11454029341957	114.18015209647596	116.15601771565717	117.12795423217129
134	115.129213433118	114.2137716270985	116.1694367068053	117.12823237794856
135	115.12572200759054	114.23180214342138	116.17965788236286	117.12885973572239
136	115.125503739596	114.24470055695815	116.18982037809889	117.12936941066147
137	115.13118610006528	114.27374587792728	116.20125118004493	117.12959701352747
138	115.2020257433213	114.35581045659066	116.2227182786393	117.1307002609675
139	115.12748457521504	114.29669540874268	116.21983956410686	117.13146574132378
140	115.17382293613237	114.36009659901491	116.23688584067955	117.13201281730989
141	115.15213543866611	114.35644442788697	116.24312407924732	117.13216476210403
142	115.1555392681829	114.37330768427388	116.25235671190595	117.13319490126852
143	115.1235439832463	114.34969784736256	116.25583219733105	117.13459086651068
144	115.14461405074726	114.39219758889276	116.26848012655731	117.1348679379062
145	115.13041089672987	114.39462621393113	116.27463072207128	117.13550365288712
146	115.2291845877459	114.50330993733223	116.29903276412693	117.13602811076584
147	115.16500278403647	114.45228942150543	116.29641876405309	117.13695076374263
148	115.21332805296679	114.51323751230025	116.31257823936201	117.13735464417884
149	115.1929333675065	114.50266302326041	116.3170005500682	117.13797219400409
150	115.20725597469584	114.5326103742721	116.32753461677426	117.13882558080341
151	115.20117088818456	114.53533571972145	116.33396759029381	117.13927658349338
152	115.23383734699368	114.58107632756193	116.3467887889892	117.13977588143571
153	115.20064294485799	114.56138661277791	116.34834749427917	117.14026872109966
154	115.19256153906339	114.56050524460109	116.3532714677968	117.14095016324158
155	115.15326778792235	114.53110875326418	116.3536539849175	117.14173337539819
156	115.2004056993155	114.59443081036987	116.3684933987782	117.14205030266461
157	115.25391532842559	114.6499966220386	116.38393603009234	117.14313453622299
158	115.2398971967441	114.6492665681593	116.38806158582959	117.14329932703198
159	115.25708249218042	114.6709175797585	116.39705936101201	117.14471416400005
160	115.21501218677048	114.6457907946094	116.39666705716742	117.14479306887996
161	115.23764288429305	114.6776488844676	116.40669573516512	117.14543488107326
162	115.2420544298976	114.69512620401048	116.4137692266729	117.14602969318445
163	115.23305133810594	114.69435669699163	116.41802991160462	117.14659857329112
164	115.27404809912274	114.74463299391546	116.4307464424865	117.14738957932373
165	115.26082827795248	114.74152636177956	116.43460814169075	117.14806603734392
166	115.29122674769184	114.78082045456183	116.4452710160566	117.14855953496617
167	115.21974054271334	114.71565907633389	116.43832799591353	117.14923454890334
168	115.28661778709827	114.7851549647259	116.45420799991616	117.14993445147516
169	115.2682488853633	114.77608934645016	116.45644573399022	117.15057579090937
170	115.27578881903685	114.79313887047941	116.46298839139456	117.15108224545487
171	115.29613999922597	114.825684692118	116.47149840028908	117.1512678431089
172	115.30490507399789	114.83613902434199	116.47736713755299	117.1524962252978
173	115.2772436501075	114.81659733997891	116.4776288453142	117.1529377878266
174	115.28290767839225	114.82873577133984	116.48285716913882	117.15343758347025
175	115.31210865693248	114.85953031922516	116.49227159497595	117.1542851460857
176	115.31814978998403	114.87350070241807	116.49821093740687	117.1553671021371
177	115.28300990355584	114.84440550449348	116.496690826102	117.15543676550315
178	115.27435409016091	114.84256169039269	116.49982730452162	117.15645411738168
179	115.27249710017126	114.84827639779586	116.5040368454707	117.1571001044814
180	115.28935107348795	114.8742829892435	116.5111030452322	117.1571682653684
181	115.2940682215755	114.88041532393395	116.51603236519328	117.15825390633037
182	115.3130960767668	114.90570749587098	116.52289084178148	117.15873216106432
183	115.31586586488847	114.91449409677237	116.52703276220795	117.15883248903286
184	115.27730045155803	114.88142691745423	116.52421798610261	117.15942127646595
185	115.32884399746678	114.94103949563662	116.53716778189903	117.16027654844532
186	115.28882782813656	114.90560210492127	116.53397354395798	117.16054042260893
187	115.36182298403209	114.98202285343011	116.54978131511153	117.16111488145346
188	115.27610795459222	114.90227810947684	116.5393875683276	117.16161100409167
189	115.33723667934984	114.96642468637876	116.55284788429474	117.16221582192482
190	115.32648325545529	114.95619754086466	116.55375344112669	117.16280010598628
191	115.36680082939722	115.00095810770917	116.56417012849492	117.16354749260968
192	115.31188356974825	114.95509738068088	116.55837081695223	117.16342826800731
193	115.36394157293076	115.00901474434585	116.57028197178204	117.16451880738941
194	115.34388099473524	114.99481227674346	116.5704577773642	117.16529167044483
195	115.30951285264489	114.96581587576506	116.56794647344934	117.16534164999261
196	115.35164565967146	115.01015251627175	116.5782212683371	117.16620179570597
197	115.34889286254833	115.01300977521909	116.58112611445557	117.16667671058077
198	115.3108232264022	114.9793335930673	116.57799099203068	117.16722630881108
199	115.32608227603822	115.00026899552907	116.58383075127838	117.16769420141944
200	115.32583948661753	115.0065897890189	116.58650235912505	117.16798225027603
201	115.3265698898577	115.00731397431011	116.58924174581823	117.16850351305712
202	115.33872374454137	115.02198884788666	116.59397278703092	117.169100279599
203	115.34656319210794	115.03490360140638	116.59821894139938	117.16979830639738
204	115.36901395850026	115.05976018863154	116.6046983506882	117.17055311393017
205	115.30803219013939	115.0069615409463	116.59710714550405	117.17037088399
206	115.33911928589215	115.036887762502	116.604749982048	117.17145095279929
207	115.36457168776543	115.06738370510793	116.6114541198534	117.17146051564221
208	115.39389337165231	115.10098660920781	116.61901902507957	117.17184787795563
209	115.31181609538577	115.01839461061708	116.6076933792146	117.17284074318653
210	115.35896228774277	115.0730741350334	116.61785493963735	117.17246653399256
211	115.35682779098798	115.06980782600917	116.61998005494418	117.17385097361986
212	115.35221269492918	115.06929609423592	116.62146707824049	117.17408312180027
213	115.3943190724962	115.1104928554161	116.63066335035519	117.17493726389318
214	115.33855710782716	115.06063135768873	116.62396319773165	117.17531172422146
215	115.3429905122938	115.06837223737989	116.62703302675219	117.17581555293089
216	115.37367676121985	115.10177333809074	116.63450324662978	117.17640724026631
217	115.37988748805597	115.1113375824768	116.63805388889823	117.17716198182055
218	115.39368130689822	115.12924359340774	116.64227133621159	117.17727163723458
219	115.36852438906242	115.10574013056586	116.64031226930413	117.17817339138263
220	115.40341244839438	115.14458841938234	116.64805220659332	117.17829688208889
221	115.3618603739703	115.104527795626	116.64326151131367	117.17893770805001
222	115.39668167932912	115.14173714697469	116.65132301295438	117.17917329649354
223	115.42703522816062	115.17335383570786	116.65816955076784	117.179640930998
224	115.41445189251904	115.16167572189232	116.65793855985645	117.18020094664786
225	115.42468065232211	115.17512551324985	116.66176161079063	117.18067205738596
226	115.37684753141126	115.12996949457172	116.65544108795876	117.18076473911613
227	115.3948353613815	115.14970034325113	116.66043810672029	117.1816384588672
228	115.34764303249257	115.1038960039284	116.65448263660001	117.18209983496438
229	115.39314922046704	115.15220337394602	116.66368527011296	117.18225244222837
230	115.43927942593265	115.19973222960351	116.67318645641865	117.18287530281725
231	115.38315590239027	115.14410481175449	116.66521446113796	117.1835882386454
232	115.37973024910916	115.14199989415545	116.66647579986247	117.18387796167964
233	115.4056090892869	115.16877920304763	116.67253341059366	117.18440210776394
234	115.40245886299789	115.16924089213079	116.67379168326087	117.18463654585793
235	115.3952495477868	115.16091184882596	116.67429118928109	117.18564289938543
236	115.40198982478262	115.17194677050459	116.67710651031751	117.18569346398782
237	115.39089261143788	115.1607636946072	116.67695165643471	117.18641982565921
238	115.4043575611598	115.17765567680861	116.6810712409236	117.18702865823448
239	115.41058611640565	115.18549074161653	116.68397378415092	117.18746207988507
240	115.39066342304264	115.1697703748168	116.68208962671486	117.18744739112586
241	115.40546289948534	115.18650067101787	116.68599763799955	117.18780516162681
242	115.41208832559579	115.19661595464466	116.68885061826937	117.18827317206906
243	115.41769359035955	115.20320314234887	116.69132107180307	117.18878274796623
244	115.40922911624652	115.19535801492223	116.6914695314158	117.18952211657852
245	115.36032384597556	115.14792868693176	116.68483218356789	117.18997076740133
246	115.39935819588251	115.19082754962417	116.69265882321785	117.18979627656925
247	115.39320726289604	115.18678613372148	116.69294268076105	117.19046452533516
248	115.36296770513265	115.15558360949012	116.68912391079321	117.19095257381132
249	115.39925332660457	115.19282632114121	116.69652827985988	117.19113210349354
250	115.42334537550553	115.21725582183855	116.70196572014457	117.19170004450066
251	115.40023627626341	115.19736423782098	116.69958631523343	117.1921247751798
252	115.42759824792307	115.2247854171303	116.70555712036358	117.1926682772367
253	115.41077074286987	115.20903288438998	116.7044130711647	117.19312421111738
254	115.42164194169203	115.22036949052244	116.70755122598105	117.19356348495477
255	115.43193821403679	115.23420484818728	116.71086856451223	117.19385574572189
256	115.43025094866437	115.2323924085909	116.71204339241702	117.19473384130995
257	115.38012791593513	115.18583737569666	116.70490513883055	117.19458726268459
258	115.35920835113963	115.16594723632365	116.70262264030569	117.19529654638616
259	115.45184705202593	115.25564964848765	116.71926850504819	117.19609365763199
260	115.38414518120958	115.19267626180277	116.7096228418139	117.19638540447325
261	115.3948961822006	115.20444230463481	116.71277092678312	117.19689210116695
262	115.41050251398043	115.22143161189182	116.71667779059419	117.19709844973941
263	115.41179939938557	115.22371750150309	116.71832599602696	117.19789344077904
264	115.4529823249674	115.2676169873198	116.72623901335234	117.19802600671093
265	115.39980266465194	115.21560616504891	116.71843613749812	117.19825534098666
266	115.42067889769675	115.23680676021162	116.72304351846809	117.19877650863219
267	115.43599131784991	115.25056143946928	116.72648413440427	117.19941264756919
268	115.38830339772895	115.20496694204947	116.71977594980976	117.19996292037166
269	115.41167240221249	115.22905629067722	116.72470174986515	117.20006755293834
270	115.42961849647553	115.24792364474202	116.72896558161611	117.20066014156211
271	115.43313771966294	115.25118724585768	116.73066095017023	117.20131705617894
272	115.44489979567773	115.26704659172394	116.7336158332796	117.20128646385082
273	115.46398328231635	115.28400555987604	116.7380073221595	117.20219798646403
274	115.43331372847462	115.25576537741807	116.73396294910023	117.2024061232926
275	115.4505473776985	115.27370402428063	116.73790101075109	117.20290904374376
276	115.45198808373391	115.27614214945754	116.73917484162267	117.20327347152909
277	115.42340137683037	115.24774525443681	116.73550044427857	117.2039527138981
278	115.42806898602335	115.25209397397778	116.73723941110765	117.20446210676103
279	115.47057625711199	115.29841263662595	116.74557428482144	117.20462372484329
280	115.43552105983214	115.26132461959244	116.74078652981558	117.20563564922455
281	115.41985797972158	115.24888748090095	116.73914963004052	117.20545589074793
282	115.36405824761908	115.19581850785212	116.73110636785744	117.20592485593917
283	115.44373729493336	115.27371341058857	116.74527211325328	117.20667644538551
284	115.44376229257246	115.27276480298994	116.74630304586093	117.20730526611099
285	115.448796235224	115.27977007951208	116.74790014887978	117.2073844404007
286	115.44349532053408	115.27308934420624	116.74811457113847	117.20824746084699
287	115.4488020249363	115.28012594347018	116.7497858858302	117.20821368203273
288	115.45276697259408	115.28342030327907	116.75140933066596	117.2090809914416
289	115.4540006795705	115.28703758482798	116.75266952673603	117.2091739679689
290	115.48145632139921	115.31595029261179	116.75823403804209	117.20960388275319
291	115.47145888530088	115.30772210975121	116.75753086128374	117.20982877912691
292	115.46183647767471	115.30067092278631	116.75680720546576	117.21020715056936
293	115.44739995689835	115.28281138828622	116.75506583911955	117.21077682550532
294	115.46433654912423	115.30404430672533	116.7589253458483	117.21096407042967
295	115.43765457522102	115.27582795928448	116.75518601177865	117.21152461700188
296	115.48001626213414	115.32250182222076	116.76309368473427	117.21152737339135
297	115.44597902677634	115.28862323319215	116.7583733289751	117.21181405624282
298	115.43707877640468	115.2805550855945	116.75768265958449	117.211929515809
299	115.42835258169644	115.27205104228437	116.75715418034817	117.21251630191989
300	115.49833174162143	115.34252358811145	116.76970515639299	117.21278654657895
301	115.45865618940218	115.30340653652158	116.76386736586976	117.21305361335754
302	115.44373898170566	115.29204527791501	116.76189222672281	117.21305796242996
303	115.43164071670644	115.27658991278581	116.76062608783887	117.21385833735512
304	115.43340426244623	115.27944168529875	116.76183115771448	117.21430407234695
305	115.47798595856243	115.32485807667263	116.76985037169494	117.21464618432783
306	115.4451594596447	115.29442470674238	116.76508801579568	117.21465721095655
307	115.46724435109523	115.3160140070446	116.76930295838945	117.21470029975845
308	115.48849122043042	115.33777830769813	116.77344413812773	117.21509323567886
309	115.4920531675091	115.33935754469442	116.774895073612	117.21576641443835
310	115.46305161741593	115.31054931913755	116.77091589623026	117.21615073591772
311	115.44965700186162	115.29690423684809	116.76964485971038	117.21701573892834
312	115.48569385171965	115.33654721511634	116.7764826806377	117.21698175015128
313	115.46156454734347	115.31011690967541	116.77336734349329	117.21784036819437
314	115.45913436209757	115.31119084732485	116.7735737186339	117.2176522540492
315	115.48877147815277	115.33943811139844	116.77905392647126	117.21813458079474
316	115.44799886699388	115.29810475492066	116.77307513476964	117.21893780369693
317	115.44267314714044	115.29621582617925	116.7732216791181	117.21918675337443
318	115.4674353444399	115.32048780503222	116.77805419196893	117.21953708493372
319	115.47808033129313	115.3326284716049	116.78040658321507	117.21969202398198
