Iteration	bicycle	car	freight	pt	ride	walk
127	1680240	8427275	71585	3302339	2863143	1109502
128	1675179	8434941	71604	3302433	2862947	1108952
129	1676541	8429526	71557	3304332	2862268	1109351
130	1677991	8424943	71463	3304373	2861592	1113253
131	1679471	8427024	71532	3303900	2861255	1108303
132	1670356	8428359	71371	3311188	2861741	1109457
133	1675667	8426198	71392	3314465	2861408	1102980
134	1675047	8426847	71405	3309196	2861156	1108073
135	1673056	8430224	71355	3308267	2861357	1107195
136	1672361	8424538	71375	3314097	2860872	1105582
137	1674373	8426722	71365	3305830	2861021	1106305
138	1674904	8429552	71388	3310264	2860671	1103714
139	1673572	8413734	71403	3317307	2860491	1108811
140	1668708	8422199	71347	3317109	2859279	1110093
141	1666846	8420886	71381	3318651	2859534	1109130
142	1667454	8417846	71378	3323811	2859614	1107320
143	1663319	8414498	71329	3321968	2859430	1113018
144	1666764	8414131	71349	3321930	2858763	1107902
145	1664508	8414405	71326	3322068	2858354	1109712
146	1659532	8419227	71313	3330093	2858865	1106759
147	1669972	8410152	71310	3318966	2858202	1108919
148	1662856	8412783	71287	3330378	2858184	1106082
149	1664875	8412955	71326	3326267	2856965	1108758
150	1666584	8412423	71304	3323822	2856895	1107685
151	1662624	8408059	71374	3335132	2857346	1106346
152	1665351	8403987	71337	3335641	2857176	1104678
153	1660941	8413749	71299	3329558	2856440	1104918
154	1658791	8409504	71219	3331979	2856863	1107556
155	1657399	8398525	71294	3329325	2856669	1113230
156	1659158	8411839	71317	3329323	2856331	1106394
157	1659128	8405151	71210	3337255	2856258	1105517
158	1658084	8411095	71219	3331250	2856029	1107469
159	1654521	8406176	71224	3336238	2855582	1109454
160	1655985	8401956	71171	3335672	2855456	1110512
161	1654943	8406538	71128	3333689	2854997	1109344
162	1657582	8402204	71119	3338217	2855591	1106377
163	1657047	8406897	71085	3335572	2854876	1107701
164	1653693	8401992	71126	3339814	2855257	1108319
165	1656708	8409241	71079	3333395	2853824	1104626
166	1653538	8408253	71071	3335896	2853980	1106365
167	1652689	8402284	71109	3333831	2854272	1110607
168	1650561	8391138	71067	3350091	2853440	1108605
169	1650523	8396102	70922	3342719	2853874	1111040
170	1651351	8397199	70903	3344170	2852580	1107911
171	1649085	8408680	70858	3339736	2852269	1106277
172	1647727	8398871	71027	3351355	2852751	1106609
173	1651916	8394150	71024	3344768	2852455	1108503
