Iteration	bicycle	car	freight	pt	ride	walk
0	0.17157298171043311	0.3492722774557346	0.001511153806506515	0.1688133165768528	0.0933137475517773	0.21551652289869566
1	0.17256981684114023	0.34613098567145456	0.001511153806506515	0.16723197855872335	0.0933137475517773	0.21924231757039805
2	0.17325959604599697	0.34499707200242136	0.001511153806506515	0.16613809182288136	0.0933137475517773	0.22078033877041647
3	0.1740464268559886	0.3445874813299031	0.001511153806506515	0.1654461193614114	0.0933137475517773	0.22109507109441312
4	0.17434690301199932	0.3444498544774237	0.001511153806506515	0.16501788600768078	0.0933137475517773	0.22136045514461236
5	0.17475430042790435	0.3444482095349638	0.001511153806506515	0.16470260536953085	0.0933137475517773	0.2212699833093172
6	0.17513757202106403	0.3444833016407753	0.001511153806506515	0.16434400791326986	0.0933137475517773	0.221210217066607
7	0.17520172477700063	0.3445414229410255	0.001511153806506515	0.16412084405287503	0.0933137475517773	0.22131110687081498
8	0.1757275580500194	0.3445507442816317	0.001511153806506515	0.16360926694784217	0.0933137475517773	0.2212875293622229
9	0.17595291516702746	0.34454306788348543	0.001511153806506515	0.16355717710327827	0.0933137475517773	0.22112193848792502
10	0.17629725645530253	0.3445644521354643	0.001511153806506515	0.16315526282890624	0.0933137475517773	0.22115812722204312
11	0.17683350769723408	0.3444992027512211	0.001511153806506515	0.16305217976808506	0.0933137475517773	0.22079020842517597
12	0.17700622665552493	0.34450852409182725	0.001511153806506515	0.16279831031510517	0.0933137475517773	0.22086203757925882
13	0.1772096512064008	0.3448643799773217	0.001511153806506515	0.16240900726625915	0.0933137475517773	0.22069206019173448
14	0.17750190265011195	0.34444053313681755	0.001511153806506515	0.16230647251959127	0.0933137475517773	0.22092619033519542
15	0.17766968678102307	0.3446066723252687	0.001511153806506515	0.1622308051664353	0.0933137475517773	0.2206679343689891
16	0.17816755603222334	0.3442568478954606	0.001511153806506515	0.162116755822548	0.0933137475517773	0.22063393889148425
17	0.17816865266052995	0.3446801464218115	0.001511153806506515	0.16193855372272412	0.0933137475517773	0.22038774583665063
18	0.17855576245276272	0.3447168834700829	0.001511153806506515	0.16174774039737425	0.0933137475517773	0.22015471232149633
19	0.17883759592756113	0.34449591286630127	0.001511153806506515	0.16159695400521557	0.0933137475517773	0.22024463584263823
20	0.17894177561668892	0.34480132384969175	0.001511153806506515	0.16152731810774593	0.0933137475517773	0.2199046810675896
21	0.1790541800181163	0.34482928787151024	0.001511153806506515	0.16155692707202435	0.0933137475517773	0.21973470368006526
22	0.1793606876298134	0.3449866540335086	0.001511153806506515	0.1610212241442461	0.0933137475517773	0.21980653283414814
23	0.17948679988507335	0.34509905843493593	0.001511153806506515	0.16085563326994823	0.0933137475517773	0.21973360705175865
24	0.17978234121370434	0.3450277775950064	0.001511153806506515	0.16085563326994823	0.0933137475517773	0.21950934656305723
25	0.1795860447468214	0.3449773326929024	0.001511153806506515	0.16095323318923638	0.0933137475517773	0.21965848801275598
26	0.18011571621891334	0.34519227184099766	0.001511153806506515	0.16055131891486435	0.0933137475517773	0.21931579166694082
27	0.1800093432731723	0.34560570071258906	0.001511153806506515	0.1603747617575004	0.0933137475517773	0.21918529289845443
28	0.18025992284123235	0.34576745338781384	0.001511153806506515	0.16006441594673018	0.0933137475517773	0.21908330646593982
29	0.1802654059827654	0.3460459969776924	0.001511153806506515	0.15986702285154064	0.0933137475517773	0.21899667282971774
30	0.18017054763424376	0.34592975437719187	0.001511153806506515	0.15990869472719177	0.0933137475517773	0.21916610190308877
