Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
75	04:20:24	04:20:24	04:20:25	04:20:25	04:22:00	04:22:00			04:22:03	04:22:03	04:22:12	04:22:12	04:30:50	04:30:50	04:30:52	04:30:52	04:30:53	04:30:53			04:31:02	04:31:02		00:00:01	00:01:35		00:00:02	00:00:09	00:08:38	00:00:02	00:00:00		00:00:09	00:10:38
76	04:31:03	04:31:03	04:31:04	04:31:04	04:32:37	04:32:37			04:32:39	04:32:39	04:32:48	04:32:48	04:41:23	04:41:23	04:41:26	04:41:26	04:41:26	04:41:26			04:41:35	04:41:35		00:00:01	00:01:33		00:00:01	00:00:08	00:08:35	00:00:02	00:00:00		00:00:08	00:10:32
77	04:41:35	04:41:35	04:41:36	04:41:36	04:43:07	04:43:07			04:43:10	04:43:10	04:43:18	04:43:18	04:51:58	04:51:58	04:52:00	04:52:00	04:52:01	04:52:01			04:52:10	04:52:10		00:00:01	00:01:30		00:00:02	00:00:08	00:08:39	00:00:02	00:00:00		00:00:09	00:10:34
78	04:52:10	04:52:10	04:52:11	04:52:11	04:53:42	04:53:42			04:53:44	04:53:44	04:53:52	04:53:52	05:02:27	05:02:27	05:02:29	05:02:29	05:02:30	05:02:30			05:02:39	05:02:39		00:00:01	00:01:30		00:00:02	00:00:08	00:08:35	00:00:02	00:00:00		00:00:09	00:10:28
79	05:02:39	05:02:39	05:02:41	05:02:41	05:04:14	05:04:14			05:04:16	05:04:16	05:04:26	05:04:26	05:13:17	05:13:17	05:13:20	05:13:20	05:13:21	05:13:21			05:13:29	05:13:29		00:00:02	00:01:32		00:00:02	00:00:10	00:08:51	00:00:02	00:00:00		00:00:08	00:10:50
80	05:13:30	05:13:30	05:13:31	05:13:31	05:15:05	05:15:05			05:15:06	05:15:06	05:15:13	05:15:13	05:24:05	05:24:05	05:24:07	05:24:07	05:24:08	05:24:08	05:24:08	05:24:08	05:25:48	05:25:48		00:00:01	00:01:33		00:00:01	00:00:06	00:08:52	00:00:02	00:00:00	00:00:00	00:01:39	00:12:17
81	05:25:48	05:25:48	05:25:49	05:25:49	05:27:19	05:27:19			05:27:21	05:27:21	05:27:28	05:27:28	05:36:17	05:36:17	05:36:19	05:36:19	05:36:20	05:36:20			05:36:28	05:36:28		00:00:01	00:01:30		00:00:01	00:00:06	00:08:48	00:00:02	00:00:00		00:00:08	00:10:40
82	05:36:28	05:36:28	05:36:29	05:36:29	05:38:05	05:38:05			05:38:07	05:38:07	05:38:18	05:38:18	05:46:57	05:46:57	05:47:00	05:47:00	05:47:01	05:47:01			05:47:09	05:47:09		00:00:00	00:01:36		00:00:02	00:00:10	00:08:39	00:00:02	00:00:00		00:00:08	00:10:41
83	05:47:09	05:47:09	05:47:10	05:47:10	05:48:43	05:48:43			05:48:46	05:48:46	05:48:58	05:48:58	05:57:38	05:57:38	05:57:40	05:57:40	05:57:41	05:57:41			05:57:49	05:57:49		00:00:01	00:01:32		00:00:02	00:00:11	00:08:40	00:00:02	00:00:00		00:00:07	00:10:39
84	05:57:49	05:57:49	05:57:50	05:57:50	05:59:21	05:59:21			05:59:24	05:59:24	05:59:34	05:59:34	06:08:16	06:08:16	06:08:18	06:08:18	06:08:19	06:08:19			06:08:28	06:08:28		00:00:00	00:01:31		00:00:02	00:00:10	00:08:41	00:00:02	00:00:00		00:00:09	00:10:39
85	06:08:28	06:08:28	06:08:30	06:08:30	06:10:06	06:10:06			06:10:09	06:10:09	06:10:19	06:10:19	06:18:52	06:18:52	06:18:55	06:18:55	06:18:56	06:18:56			06:19:04	06:19:04		00:00:01	00:01:35		00:00:02	00:00:10	00:08:32	00:00:03	00:00:00		00:00:08	00:10:35
86	06:19:05	06:19:05	06:19:06	06:19:06	06:20:41	06:20:41			06:20:43	06:20:43	06:20:53	06:20:53	06:29:37	06:29:37	06:29:40	06:29:40	06:29:41	06:29:41			06:29:51	06:29:51		00:00:01	00:01:35		00:00:01	00:00:09	00:08:44	00:00:03	00:00:01		00:00:09	00:10:46
87	06:29:51	06:29:51	06:29:54	06:29:54	06:31:29	06:31:29			06:31:31	06:31:31	06:31:42	06:31:42	06:40:13	06:40:13	06:40:15	06:40:15	06:40:16	06:40:16			06:40:25	06:40:25		00:00:02	00:01:34		00:00:02	00:00:10	00:08:30	00:00:02	00:00:00		00:00:08	00:10:33
88	06:40:25	06:40:25	06:40:26	06:40:26	06:41:58	06:41:58			06:42:00	06:42:00	06:42:11	06:42:11	06:50:54	06:50:54	06:50:58	06:50:58	06:50:58	06:50:58			06:51:08	06:51:08		00:00:01	00:01:31		00:00:02	00:00:11	00:08:42	00:00:03	00:00:00		00:00:09	00:10:42
89	06:51:08	06:51:08	06:51:09	06:51:09	06:52:45	06:52:45			06:52:47	06:52:47	06:52:58	06:52:58	07:01:33	07:01:33	07:01:36	07:01:36	07:01:36	07:01:36			07:01:45	07:01:45		00:00:01	00:01:35		00:00:02	00:00:11	00:08:34	00:00:02	00:00:00		00:00:09	00:10:37
90	07:01:46	07:01:46	07:01:47	07:01:47	07:03:17	07:03:17			07:03:19	07:03:19	07:03:28	07:03:28	07:12:01	07:12:01	07:12:03	07:12:03	07:12:04	07:12:04	07:12:04	07:12:04	07:13:48	07:13:48		00:00:01	00:01:29		00:00:02	00:00:09	00:08:32	00:00:02	00:00:00	00:00:00	00:01:44	00:12:02
91	07:13:49	07:13:49	07:13:50	07:13:50	07:15:20	07:15:20			07:15:22	07:15:22	07:15:32	07:15:32	07:24:06	07:24:06	07:24:08	07:24:08	07:24:09	07:24:09			07:24:17	07:24:17		00:00:01	00:01:30		00:00:02	00:00:10	00:08:33	00:00:02	00:00:00		00:00:08	00:10:28
92	07:24:17	07:24:17	07:24:18	07:24:18	07:25:50	07:25:50			07:25:52	07:25:52	07:26:03	07:26:03	07:34:35	07:34:35	07:34:37	07:34:37	07:34:38	07:34:38			07:34:47	07:34:47		00:00:01	00:01:31		00:00:02	00:00:11	00:08:31	00:00:02	00:00:00		00:00:09	00:10:30
93	07:34:48	07:34:48	07:34:49	07:34:49	07:36:25	07:36:25			07:36:28	07:36:28	07:36:39	07:36:39	07:45:13	07:45:13	07:45:15	07:45:15	07:45:16	07:45:16			07:45:25	07:45:25		00:00:01	00:01:36		00:00:02	00:00:10	00:08:34	00:00:02	00:00:00		00:00:08	00:10:37
94	07:45:25	07:45:25	07:45:26	07:45:26	07:47:00	07:47:00			07:47:02	07:47:02	07:47:12	07:47:12	07:55:57	07:55:57	07:56:00	07:56:00	07:56:00	07:56:00			07:56:09	07:56:09		00:00:01	00:01:33		00:00:02	00:00:09	00:08:45	00:00:02	00:00:00		00:00:08	00:10:43
95	07:56:09	07:56:09	07:56:10	07:56:10	07:57:43	07:57:43			07:57:45	07:57:45	07:57:55	07:57:55	08:06:35	08:06:35	08:06:37	08:06:37	08:06:38	08:06:38			08:06:46	08:06:46		00:00:00	00:01:33		00:00:02	00:00:09	00:08:39	00:00:02	00:00:00		00:00:08	00:10:37
96	08:06:46	08:06:46	08:06:47	08:06:47	08:08:21	08:08:21			08:08:23	08:08:23	08:08:33	08:08:33	08:17:11	08:17:11	08:17:13	08:17:13	08:17:13	08:17:13			08:17:23	08:17:23		00:00:00	00:01:33		00:00:02	00:00:10	00:08:37	00:00:02	00:00:00		00:00:09	00:10:36
97	08:17:23	08:17:23	08:17:24	08:17:24	08:19:00	08:19:00			08:19:02	08:19:02	08:19:13	08:19:13	08:27:45	08:27:45	08:27:47	08:27:47	08:27:48	08:27:48			08:27:58	08:27:58		00:00:00	00:01:35		00:00:02	00:00:10	00:08:32	00:00:02	00:00:00		00:00:09	00:10:34
98	08:27:58	08:27:58	08:27:59	08:27:59	08:29:31	08:29:31			08:29:33	08:29:33	08:29:45	08:29:45	08:38:23	08:38:23	08:38:25	08:38:25	08:38:26	08:38:26			08:38:34	08:38:34		00:00:00	00:01:32		00:00:02	00:00:11	00:08:37	00:00:02	00:00:00		00:00:08	00:10:36
99	08:38:34	08:38:34	08:38:35	08:38:35	08:40:12	08:40:12			08:40:14	08:40:14	08:40:24	08:40:24	08:49:01	08:49:01	08:49:03	08:49:03	08:49:04	08:49:04			08:49:13	08:49:13		00:00:01	00:01:36		00:00:02	00:00:10	00:08:37	00:00:02	00:00:00		00:00:08	00:10:38
100	08:49:13	08:49:13	08:49:14	08:49:14	08:50:45	08:50:45	08:50:45	08:56:23	08:56:24	08:56:24	08:56:32	08:56:32	09:10:04	09:10:04	09:10:06	09:10:06	09:10:06	09:10:06	09:10:06	09:10:06	09:11:47	09:11:47		00:00:00	00:01:31	00:05:37	00:05:39	00:00:07	00:13:31	00:00:02	00:00:00	00:00:00	00:01:40	00:22:33
101	09:11:47	09:11:47	09:11:48	09:11:48	09:13:20	09:13:20			09:13:23	09:13:23	09:13:34	09:13:34	09:22:04	09:22:04	09:22:07	09:22:07	09:22:07	09:22:07			09:22:16	09:22:16		00:00:01	00:01:32		00:00:02	00:00:10	00:08:30	00:00:02	00:00:00		00:00:09	00:10:29
102	09:22:17	09:22:17	09:22:18	09:22:18	09:23:54	09:23:54			09:23:57	09:23:57	09:24:08	09:24:08	09:32:44	09:32:44	09:32:47	09:32:47	09:32:48	09:32:48			09:32:57	09:32:57		00:00:01	00:01:36		00:00:03	00:00:10	00:08:36	00:00:03	00:00:00		00:00:08	00:10:40
103	09:32:57	09:32:57	09:32:58	09:32:58	09:34:32	09:34:32			09:34:34	09:34:34	09:34:44	09:34:44	09:43:38	09:43:38	09:43:42	09:43:42	09:43:43	09:43:43			09:43:52	09:43:52		00:00:01	00:01:33		00:00:02	00:00:10	00:08:54	00:00:03	00:00:00		00:00:09	00:10:55
104	09:43:53	09:43:53	09:43:54	09:43:54	09:45:30	09:45:30			09:45:32	09:45:32	09:45:43	09:45:43	09:54:28	09:54:28	09:54:31	09:54:31	09:54:31	09:54:31			09:54:40	09:54:40		00:00:01	00:01:35		00:00:02	00:00:10	00:08:45	00:00:02	00:00:00		00:00:08	00:10:47
105	09:54:40	09:54:40	09:54:41	09:54:41	09:56:17	09:56:17			09:56:19	09:56:19	09:56:30	09:56:30	10:05:08	10:05:08	10:05:10	10:05:10	10:05:11	10:05:11			10:05:20	10:05:20		00:00:01	00:01:35		00:00:02	00:00:11	00:08:38	00:00:02	00:00:00		00:00:08	00:10:39
106	10:05:20	10:05:20	10:05:21	10:05:21	10:06:56	10:06:56			10:06:58	10:06:58	10:07:08	10:07:08	10:15:42	10:15:42	10:15:44	10:15:44	10:15:45	10:15:45			10:15:54	10:15:54		00:00:01	00:01:34		00:00:02	00:00:09	00:08:34	00:00:02	00:00:00		00:00:09	00:10:34
107	10:15:55	10:15:55	10:15:56	10:15:56	10:17:31	10:17:31			10:17:33	10:17:33	10:17:44	10:17:44	10:26:19	10:26:19	10:26:22	10:26:22	10:26:22	10:26:22			10:26:32	10:26:32		00:00:01	00:01:35		00:00:02	00:00:10	00:08:35	00:00:02	00:00:00		00:00:09	00:10:37
108	10:26:32	10:26:32	10:26:33	10:26:33	10:28:09	10:28:09			10:28:11	10:28:11	10:28:22	10:28:22	10:36:49	10:36:49	10:36:52	10:36:52	10:36:52	10:36:52			10:37:01	10:37:01		00:00:01	00:01:35		00:00:02	00:00:10	00:08:27	00:00:02	00:00:00		00:00:09	00:10:29
109	10:37:02	10:37:02	10:37:03	10:37:03	10:38:37	10:38:37			10:38:39	10:38:39	10:38:49	10:38:49	10:47:18	10:47:18	10:47:21	10:47:21	10:47:21	10:47:21			10:47:30	10:47:30		00:00:01	00:01:34		00:00:02	00:00:10	00:08:28	00:00:02	00:00:00		00:00:08	00:10:28
110	10:47:31	10:47:31	10:47:33	10:47:33	10:49:04	10:49:04			10:49:06	10:49:06	10:49:16	10:49:16	10:57:55	10:57:55	10:57:57	10:57:57	10:57:58	10:57:58	10:57:58	10:57:58	10:59:44	10:59:44		00:00:02	00:01:31		00:00:02	00:00:10	00:08:38	00:00:02	00:00:00	00:00:00	00:01:45	00:12:13
111	10:59:44	10:59:44	10:59:46	10:59:46	11:01:17	11:01:17			11:01:19	11:01:19	11:01:29	11:01:29	11:10:05	11:10:05	11:10:07	11:10:07	11:10:08	11:10:08			11:10:16	11:10:16		00:00:01	00:01:31		00:00:02	00:00:09	00:08:35	00:00:02	00:00:00		00:00:08	00:10:32
112	11:10:17	11:10:17	11:10:18	11:10:18	11:11:52	11:11:52			11:11:54	11:11:54	11:12:03	11:12:03	11:20:36	11:20:36	11:20:39	11:20:39	11:20:40	11:20:40			11:20:49	11:20:49		00:00:01	00:01:33		00:00:01	00:00:09	00:08:33	00:00:02	00:00:00		00:00:09	00:10:32
113	11:20:49	11:20:49	11:20:50	11:20:50	11:22:24	11:22:24			11:22:26	11:22:26	11:22:37	11:22:37	11:31:14	11:31:14	11:31:17	11:31:17	11:31:18	11:31:18			11:31:26	11:31:26		00:00:01	00:01:33		00:00:02	00:00:10	00:08:37	00:00:02	00:00:00		00:00:08	00:10:36
114	11:31:26	11:31:26	11:31:27	11:31:27	11:33:02	11:33:02			11:33:05	11:33:05	11:33:15	11:33:15	11:41:49	11:41:49	11:41:52	11:41:52	11:41:52	11:41:52			11:42:01	11:42:01		00:00:01	00:01:35		00:00:02	00:00:09	00:08:34	00:00:02	00:00:00		00:00:08	00:10:34
115	11:42:01	11:42:01	11:42:02	11:42:02	11:43:36	11:43:36			11:43:38	11:43:38	11:43:49	11:43:49	11:52:22	11:52:22	11:52:24	11:52:24	11:52:25	11:52:25			11:52:34	11:52:34		00:00:01	00:01:33		00:00:02	00:00:11	00:08:33	00:00:02	00:00:00		00:00:08	00:10:33
116	11:52:34	11:52:34	11:52:35	11:52:35	11:54:12	11:54:12			11:54:14	11:54:14	11:54:25	11:54:25	12:02:58	12:02:58	12:03:00	12:03:00	12:03:01	12:03:01			12:03:12	12:03:12		00:00:01	00:01:36		00:00:02	00:00:10	00:08:32	00:00:02	00:00:00		00:00:10	00:10:37
117	12:03:12	12:03:12	12:03:13	12:03:13	12:04:49	12:04:49			12:04:52	12:04:52	12:05:02	12:05:02	12:13:34	12:13:34	12:13:38	12:13:38	12:13:38	12:13:38			12:13:48	12:13:48		00:00:01	00:01:36		00:00:02	00:00:10	00:08:32	00:00:03	00:00:00		00:00:09	00:10:36
118	12:13:48	12:13:48	12:13:50	12:13:50	12:15:25	12:15:25			12:15:27	12:15:27	12:15:37	12:15:37	12:24:23	12:24:23	12:24:26	12:24:26	12:24:26	12:24:26			12:24:35	12:24:35		00:00:01	00:01:35		00:00:02	00:00:10	00:08:45	00:00:02	00:00:00		00:00:08	00:10:46
119	12:24:35	12:24:35	12:24:36	12:24:36	12:26:13	12:26:13			12:26:15	12:26:15	12:26:25	12:26:25	12:34:55	12:34:55	12:34:57	12:34:57	12:34:58	12:34:58			12:35:07	12:35:07		00:00:00	00:01:36		00:00:02	00:00:09	00:08:29	00:00:02	00:00:00		00:00:08	00:10:31
120	12:35:07	12:35:07	12:35:08	12:35:08	12:36:43	12:36:43			12:36:45	12:36:45	12:36:56	12:36:56	12:45:27	12:45:27	12:45:29	12:45:29	12:45:30	12:45:30	12:45:30	12:45:30	12:47:13	12:47:13		00:00:00	00:01:35		00:00:02	00:00:10	00:08:31	00:00:02	00:00:00	00:00:00	00:01:42	00:12:05
121	12:47:13	12:47:13	12:47:14	12:47:14	12:48:49	12:48:49			12:48:51	12:48:51	12:49:01	12:49:01	12:57:35	12:57:35	12:57:39	12:57:39	12:57:40	12:57:40			12:57:47	12:57:47		00:00:01	00:01:34		00:00:02	00:00:10	00:08:34	00:00:03	00:00:00		00:00:07	00:10:34
122	12:57:47	12:57:47	12:57:48	12:57:48	12:59:23	12:59:23			12:59:25	12:59:25	12:59:36	12:59:36	13:08:09	13:08:09	13:08:11	13:08:11	13:08:12	13:08:12			13:08:20	13:08:20		00:00:00	00:01:34		00:00:02	00:00:10	00:08:32	00:00:02	00:00:00		00:00:08	00:10:33
123	13:08:21	13:08:21	13:08:22	13:08:22	13:09:56	13:09:56			13:09:59	13:09:59	13:10:09	13:10:09	13:18:51	13:18:51	13:18:54	13:18:54	13:18:55	13:18:55			13:19:04	13:19:04		00:00:01	00:01:34		00:00:02	00:00:10	00:08:42	00:00:02	00:00:00		00:00:09	00:10:43
124	13:19:04	13:19:04	13:19:05	13:19:05	13:20:43	13:20:43			13:20:46	13:20:46	13:20:57	13:20:57	13:29:39	13:29:39	13:29:42	13:29:42	13:29:43	13:29:43			13:29:52	13:29:52		00:00:01	00:01:38		00:00:02	00:00:10	00:08:42	00:00:02	00:00:00		00:00:09	00:10:47
125	13:29:52	13:29:52	13:29:53	13:29:53	13:31:30	13:31:30			13:31:33	13:31:33	13:31:42	13:31:42	13:40:14	13:40:14	13:40:17	13:40:17	13:40:18	13:40:18			13:40:27	13:40:27		00:00:01	00:01:37		00:00:02	00:00:09	00:08:31	00:00:02	00:00:01		00:00:08	00:10:34
126	13:40:27	13:40:27	13:40:28	13:40:28	13:42:05	13:42:05			13:42:07	13:42:07	13:42:17	13:42:17	13:50:50	13:50:50	13:50:53	13:50:53	13:50:53	13:50:53			13:51:02	13:51:02		00:00:00	00:01:36		00:00:02	00:00:10	00:08:33	00:00:02	00:00:00		00:00:08	00:10:35
127	13:51:02	13:51:02	13:51:03	13:51:03	13:52:39	13:52:39			13:52:41	13:52:41	13:52:52	13:52:52	14:01:23	14:01:23	14:01:25	14:01:25	14:01:25	14:01:25			14:01:35	14:01:35		00:00:01	00:01:35		00:00:02	00:00:10	00:08:31	00:00:01	00:00:00		00:00:10	00:10:33
128	14:01:36	14:01:36	14:01:37	14:01:37	14:03:10	14:03:10			14:03:12	14:03:12	14:03:23	14:03:23	14:12:01	14:12:01	14:12:05	14:12:05	14:12:05	14:12:05			14:12:15	14:12:15		00:00:01	00:01:32		00:00:02	00:00:10	00:08:38	00:00:03	00:00:00		00:00:09	00:10:39
129	14:12:15	14:12:15	14:12:16	14:12:16	14:13:53	14:13:53			14:13:56	14:13:56	14:14:07	14:14:07	14:22:49	14:22:49	14:22:52	14:22:52	14:22:53	14:22:53			14:23:03	14:23:03		00:00:01	00:01:36		00:00:02	00:00:11	00:08:42	00:00:02	00:00:00		00:00:09	00:10:47
130	14:23:03	14:23:03	14:23:04	14:23:04	14:24:43	14:24:43			14:24:45	14:24:45	14:24:54	14:24:54	14:33:46	14:33:46	14:33:49	14:33:49	14:33:50	14:33:50	14:33:50	14:33:50	14:35:36	14:35:36		00:00:01	00:01:38		00:00:02	00:00:09	00:08:51	00:00:03	00:00:00	00:00:00	00:01:45	00:12:32
131	14:35:36	14:35:36	14:35:37	14:35:37	14:37:11	14:37:11			14:37:13	14:37:13	14:37:22	14:37:22	14:46:00	14:46:00	14:46:02	14:46:02	14:46:03	14:46:03			14:46:11	14:46:11		00:00:01	00:01:34		00:00:02	00:00:09	00:08:37	00:00:02	00:00:00		00:00:08	00:10:35
132	14:46:12	14:46:12	14:46:13	14:46:13	14:47:45	14:47:45			14:47:48	14:47:48	14:47:59	14:47:59	14:56:31	14:56:31	14:56:33	14:56:33	14:56:34	14:56:34			14:56:42	14:56:42		00:00:00	00:01:32		00:00:02	00:00:11	00:08:31	00:00:02	00:00:00		00:00:08	00:10:30
133	14:56:42	14:56:42	14:56:43	14:56:43	14:58:19	14:58:19			14:58:21	14:58:21	14:58:31	14:58:31	15:07:10	15:07:10	15:07:12	15:07:12	15:07:13	15:07:13			15:07:22	15:07:22		00:00:01	00:01:35		00:00:02	00:00:10	00:08:38	00:00:02	00:00:00		00:00:09	00:10:40
134	15:07:22	15:07:22	15:07:23	15:07:23	15:09:02	15:09:02			15:09:05	15:09:05	15:09:15	15:09:15	15:17:50	15:17:50	15:17:53	15:17:53	15:17:54	15:17:54			15:18:02	15:18:02		00:00:01	00:01:38		00:00:02	00:00:10	00:08:34	00:00:03	00:00:00		00:00:08	00:10:39
135	15:18:02	15:18:02	15:18:03	15:18:03	15:19:37	15:19:37			15:19:39	15:19:39	15:19:49	15:19:49	15:28:32	15:28:32	15:28:36	15:28:36	15:28:36	15:28:36			15:28:45	15:28:45		00:00:01	00:01:33		00:00:02	00:00:10	00:08:43	00:00:03	00:00:00		00:00:09	00:10:43
136	15:28:46	15:28:46	15:28:47	15:28:47	15:30:22	15:30:22			15:30:24	15:30:24	15:30:36	15:30:36	15:39:05	15:39:05	15:39:08	15:39:08	15:39:09	15:39:09			15:39:18	15:39:18		00:00:01	00:01:35		00:00:02	00:00:11	00:08:29	00:00:02	00:00:00		00:00:09	00:10:32
137	15:39:18	15:39:18	15:39:20	15:39:20	15:40:53	15:40:53			15:40:55	15:40:55	15:41:05	15:41:05	15:49:53	15:49:53	15:49:56	15:49:56	15:49:57	15:49:57			15:50:06	15:50:06		00:00:01	00:01:32		00:00:02	00:00:10	00:08:47	00:00:02	00:00:00		00:00:09	00:10:47
138	15:50:06	15:50:06	15:50:07	15:50:07	15:51:42	15:51:42			15:51:44	15:51:44	15:51:53	15:51:53	16:00:21	16:00:21	16:00:23	16:00:23	16:00:24	16:00:24			16:00:34	16:00:34		00:00:01	00:01:34		00:00:01	00:00:08	00:08:27	00:00:02	00:00:00		00:00:10	00:10:28
139	16:00:35	16:00:35	16:00:36	16:00:36	16:02:09	16:02:09			16:02:11	16:02:11	16:02:23	16:02:23	16:10:56	16:10:56	16:10:59	16:10:59	16:10:59	16:10:59			16:11:10	16:11:10		00:00:01	00:01:32		00:00:02	00:00:11	00:08:33	00:00:02	00:00:00		00:00:10	00:10:34
140	16:11:10	16:11:10	16:11:11	16:11:11	16:12:46	16:12:46			16:12:48	16:12:48	16:12:58	16:12:58	16:21:31	16:21:31	16:21:34	16:21:34	16:21:34	16:21:34	16:21:35	16:21:35	16:23:17	16:23:17		00:00:01	00:01:34		00:00:02	00:00:09	00:08:33	00:00:02	00:00:00	00:00:00	00:01:42	00:12:07
141	16:23:17	16:23:17	16:23:19	16:23:19	16:24:54	16:24:54			16:24:56	16:24:56	16:25:06	16:25:06	16:33:41	16:33:41	16:33:44	16:33:44	16:33:44	16:33:44			16:33:52	16:33:52		00:00:01	00:01:35		00:00:02	00:00:09	00:08:35	00:00:02	00:00:00		00:00:08	00:10:35
142	16:33:53	16:33:53	16:33:54	16:33:54	16:35:27	16:35:27			16:35:29	16:35:29	16:35:38	16:35:38	16:44:11	16:44:11	16:44:13	16:44:13	16:44:13	16:44:13			16:44:21	16:44:21		00:00:00	00:01:32		00:00:02	00:00:09	00:08:32	00:00:01	00:00:00		00:00:07	00:10:28
143	16:44:21	16:44:21	16:44:23	16:44:23	16:46:00	16:46:00			16:46:02	16:46:02	16:46:13	16:46:13	16:54:48	16:54:48	16:54:50	16:54:50	16:54:51	16:54:51			16:55:00	16:55:00		00:00:01	00:01:37		00:00:02	00:00:10	00:08:35	00:00:02	00:00:00		00:00:08	00:10:38
144	16:55:00	16:55:00	16:55:01	16:55:01	16:56:36	16:56:36			16:56:38	16:56:38	16:56:47	16:56:47	17:05:23	17:05:23	17:05:26	17:05:26	17:05:27	17:05:27			17:05:36	17:05:36		00:00:01	00:01:34		00:00:01	00:00:09	00:08:35	00:00:02	00:00:00		00:00:09	00:10:36
145	17:05:36	17:05:36	17:05:38	17:05:38	17:07:15	17:07:15			17:07:18	17:07:18	17:07:28	17:07:28	17:16:10	17:16:10	17:16:13	17:16:13	17:16:14	17:16:14			17:16:22	17:16:22		00:00:01	00:01:37		00:00:02	00:00:10	00:08:42	00:00:02	00:00:00		00:00:08	00:10:45
146	17:16:22	17:16:22	17:16:24	17:16:24	17:18:02	17:18:02			17:18:04	17:18:04	17:18:15	17:18:15	17:26:58	17:26:58	17:27:01	17:27:01	17:27:02	17:27:02			17:27:12	17:27:12		00:00:01	00:01:37		00:00:02	00:00:10	00:08:43	00:00:03	00:00:00		00:00:09	00:10:49
147	17:27:12	17:27:12	17:27:13	17:27:13	17:28:49	17:28:49			17:28:52	17:28:52	17:29:02	17:29:02	17:37:37	17:37:37	17:37:39	17:37:39	17:37:40	17:37:40			17:37:49	17:37:49		00:00:01	00:01:35		00:00:02	00:00:10	00:08:34	00:00:02	00:00:00		00:00:08	00:10:36
148	17:37:49	17:37:49	17:37:50	17:37:50	17:39:26	17:39:26			17:39:28	17:39:28	17:39:40	17:39:40	17:48:09	17:48:09	17:48:11	17:48:11	17:48:12	17:48:12			17:48:22	17:48:22		00:00:01	00:01:36		00:00:02	00:00:11	00:08:29	00:00:02	00:00:00		00:00:09	00:10:33
149	17:48:22	17:48:22	17:48:23	17:48:23	17:49:58	17:49:58			17:50:00	17:50:00	17:50:11	17:50:11	17:58:51	17:58:51	17:58:53	17:58:53	17:58:54	17:58:54			17:59:04	17:59:04		00:00:01	00:01:34		00:00:02	00:00:10	00:08:39	00:00:02	00:00:00		00:00:09	00:10:41
150	17:59:04	17:59:04	17:59:05	17:59:05	18:00:42	18:00:42	18:00:42	18:06:18	18:06:19	18:06:19	18:06:26	18:06:26	18:19:04	18:19:04	18:19:06	18:19:06	18:19:07	18:19:07	18:19:07	18:19:07	18:20:47	18:20:47		00:00:01	00:01:36	00:05:35	00:05:37	00:00:06	00:12:38	00:00:02	00:00:00	00:00:00	00:01:40	00:21:43
151	18:20:47	18:20:47	18:20:49	18:20:49	18:22:25	18:22:25			18:22:27	18:22:27	18:22:38	18:22:38	18:31:08	18:31:08	18:31:10	18:31:10	18:31:11	18:31:11			18:31:20	18:31:20		00:00:01	00:01:36		00:00:02	00:00:10	00:08:30	00:00:02	00:00:00		00:00:09	00:10:32
152	18:31:20	18:31:20	18:31:21	18:31:21	18:32:57	18:32:57			18:32:59	18:32:59	18:33:09	18:33:09	18:41:34	18:41:34	18:41:36	18:41:36	18:41:37	18:41:37			18:41:46	18:41:46		00:00:00	00:01:35		00:00:02	00:00:09	00:08:25	00:00:02	00:00:00		00:00:08	00:10:25
153	18:41:46	18:41:46	18:41:47	18:41:47	18:43:21	18:43:21			18:43:24	18:43:24	18:43:34	18:43:34	18:52:08	18:52:08	18:52:11	18:52:11	18:52:12	18:52:12			18:52:21	18:52:21		00:00:00	00:01:34		00:00:02	00:00:10	00:08:33	00:00:03	00:00:00		00:00:08	00:10:34
154	18:52:21	18:52:21	18:52:22	18:52:22	18:54:04	18:54:04			18:54:06	18:54:06	18:54:16	18:54:16	19:02:38	19:02:38	19:02:41	19:02:41	19:02:42	19:02:42			19:02:51	19:02:51		00:00:01	00:01:41		00:00:02	00:00:10	00:08:21	00:00:03	00:00:00		00:00:09	00:10:30
155	19:02:51	19:02:51	19:02:52	19:02:52	19:04:27	19:04:27			19:04:29	19:04:29	19:04:39	19:04:39	19:13:06	19:13:06	19:13:09	19:13:09	19:13:10	19:13:10			19:13:18	19:13:18		00:00:01	00:01:34		00:00:02	00:00:10	00:08:26	00:00:02	00:00:00		00:00:08	00:10:27
156	19:13:18	19:13:18	19:13:19	19:13:19	19:14:56	19:14:56			19:14:58	19:14:58	19:15:08	19:15:08	19:23:38	19:23:38	19:23:40	19:23:40	19:23:41	19:23:41			19:23:50	19:23:50		00:00:01	00:01:36		00:00:02	00:00:10	00:08:29	00:00:02	00:00:00		00:00:08	00:10:31
